celltype,contrast,symbol,mean_A,mean_B,delta_log,n_A,n_B,welch_p,note,bh_q
Immune,CCI_vs_Sham,SPRR1A,0.7114558219909668,0.0170524250715971,0.6944034099578857,2,2,0.12828470766544342,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,ATF3,0.8365604281425476,0.4186258912086487,0.4179345369338989,2,2,0.14903375506401062,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,TFE3,0.1702927201986313,0.31397610902786255,-0.14368338882923126,2,2,0.6980237364768982,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,CDHR5,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,GALNS,0.03380503132939339,0.0,0.03380503132939339,2,2,0.3216409981250763,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,CHL1,0.27361297607421875,0.1329488307237625,0.14066414535045624,2,2,0.37921589612960815,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,FLNC,0.07553298771381378,0.0,0.07553298771381378,2,2,0.17792882025241852,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,RNF19B,0.3198070824146271,0.09676505625247955,0.22304202616214752,2,2,0.21581879258155823,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,SRRM4,0.03582780808210373,0.007463999558240175,0.02836380898952484,2,2,0.37745729088783264,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,ECEL1,0.18518434464931488,0.0,0.18518434464931488,2,2,0.07724744826555252,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,FLRT3,0.3556101322174072,0.08600547909736633,0.2696046531200409,2,2,0.042945943772792816,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,PTPN23,0.09481300413608551,0.01770370453596115,0.07710929960012436,2,2,0.08200962096452713,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,MAPK14,0.2355930358171463,0.3870401978492737,-0.15144716203212738,2,2,0.573016345500946,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,VASH2,0.03796672448515892,0.0,0.03796672448515892,2,2,0.19147013127803802,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,TNIK,0.23497845232486725,0.10624387115240097,0.12873458862304688,2,2,0.21473169326782227,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,WDR81,0.15690046548843384,0.06304286420345306,0.09385760128498077,2,2,0.35737112164497375,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,CCDC160,0.012326865456998348,0.01770370453596115,-0.005376839078962803,2,2,0.8288716077804565,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,SLC2A1,0.12313131988048553,0.15919089317321777,-0.03605957329273224,2,2,0.6733483672142029,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,ANKRD13B,0.08996438980102539,0.0183692816644907,0.07159510999917984,2,2,0.12137365341186523,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,NPY,0.11362265050411224,0.0,0.11362265050411224,2,2,0.11109569668769836,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,AXL,0.5262880325317383,0.3626861572265625,0.16360187530517578,2,2,0.4380863606929779,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,SERPINE1,0.071083202958107,0.0,0.071083202958107,2,2,0.2219875156879425,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,WBP1L,0.05923784524202347,0.10356995463371277,-0.0443321093916893,2,2,0.5905932784080505,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,ITPKC,0.04412316903471947,0.025150222703814507,0.01897294633090496,2,2,0.6326788663864136,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,ACVR1,0.08556666970252991,0.03032446652650833,0.055242203176021576,2,2,0.4899470806121826,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,LNP1,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,AGRN,0.03556816652417183,0.02516770362854004,0.01040046289563179,2,2,0.7655429244041443,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,VIP,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,REG3B,0.007553460076451302,0.0,0.007553460076451302,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,TNS3,0.22808071970939636,0.14068996906280518,0.08739075064659119,2,2,0.6591118574142456,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,ANKRD1,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,CTTN,0.23711834847927094,0.23228423297405243,0.004834115505218506,2,2,0.9692229628562927,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,RUBCN,0.1083466112613678,0.15460792183876038,-0.04626131057739258,2,2,0.33931222558021545,n=2v2 sample-level; descriptive only,
Immune,CCI_vs_Sham,MEGF11,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,SPRR1A,1.8341567516326904,0.14757737517356873,1.6865793466567993,2,2,0.08354877680540085,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,ATF3,1.5704212188720703,0.5551505088806152,1.015270709991455,2,2,0.05628233030438423,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,TFE3,0.18643344938755035,0.12588916718959808,0.06054428219795227,2,2,0.227632537484169,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,CDHR5,0.0,2.7102287276647985e-05,-2.7102287276647985e-05,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,GALNS,0.02715456858277321,0.00975316297262907,0.017401404678821564,2,2,0.11585326492786407,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,CHL1,0.844447135925293,0.26516881585121155,0.5792783498764038,2,2,0.10092412680387497,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,FLNC,0.2133997678756714,0.02927456796169281,0.18412519991397858,2,2,0.11900696158409119,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,RNF19B,0.4539109170436859,0.26937592029571533,0.18453499674797058,2,2,0.15379557013511658,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,SRRM4,0.28007447719573975,0.12380149960517883,0.1562729775905609,2,2,0.1555631309747696,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,ECEL1,0.5582188963890076,0.05018460750579834,0.5080342888832092,2,2,0.08077877759933472,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,FLRT3,0.7938917875289917,0.1670103222131729,0.62688148021698,2,2,0.08317909389734268,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,PTPN23,0.1923220157623291,0.13521581888198853,0.057106196880340576,2,2,0.21050168573856354,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,MAPK14,0.32688283920288086,0.26724833250045776,0.059634506702423096,2,2,0.38351383805274963,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,VASH2,0.0831930935382843,0.02222045138478279,0.06097264215350151,2,2,0.11423871666193008,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,TNIK,0.6615245342254639,0.23991569876670837,0.4216088354587555,2,2,0.14444537460803986,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,WDR81,0.09841927886009216,0.0711074247956276,0.02731185406446457,2,2,0.2712668478488922,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,CCDC160,0.02175051160156727,0.03559744358062744,-0.013846931979060173,2,2,0.13718797266483307,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,SLC2A1,0.311407208442688,0.11924393475055695,0.19216327369213104,2,2,0.14996567368507385,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,ANKRD13B,0.3548075556755066,0.24290624260902405,0.11190131306648254,2,2,0.23101913928985596,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,NPY,0.22392889857292175,0.01775519922375679,0.20617370307445526,2,2,0.08677402883768082,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,AXL,0.021699026226997375,0.006842534989118576,0.0148564912378788,2,2,0.11275530606508255,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,SERPINE1,0.011900740675628185,0.001048463862389326,0.010852277278900146,2,2,0.11104866862297058,n=2v2 sample-level; descriptive only,
Neuron,CCI_vs_Sham,WBP1L,0.11710949242115021,0.0887523740530014,0.028357118368148804,2,2,0.19592610001564026,n=2v2 sample-level; descriptive only,
