stratum,k,n,rate,ci_lo,ci_hi,perm_p_vs_measured_background
all_measured,7751,14445,0.5365870543440637,0.5284464749079444,0.5447081792567045,1.0
meta_FDR05_NIcons_ge08,2318,4306,0.5383186251741756,0.5234008202703303,0.5531681215696233,0.7866426714657069
meta_FDR05_NIcons_lt08,1048,1598,0.655819774718398,0.6321769974453493,0.678715193075226,0.0001999600079984003
meta_FDR05_pooled_ge08,2473,3564,0.6938832772166106,0.6785502896706693,0.7087987604342939,0.0001999600079984003
