sample,condition,timepoint,Astrocyte,Endothelial,Ependymal,Fibroblast_Meninges,Microglia,Neuron,OPC,Oligodendrocyte,Pericyte
GSM7866244_SA,Sham,PID0,0.003046200710780166,0.000507700118463361,0.004738534438991369,0.007615501776950415,0.810120155694703,0.10712472499576917,0.000507700118463361,0.0624471145709934,0.0038923675748857673
GSM7866245_3A,SNI,PID3,0.00784313725490196,0.050980392156862744,0.040522875816993466,0.006535947712418301,0.3996732026143791,0.37254901960784315,0.07450980392156863,0.04215686274509804,0.00522875816993464
GSM7866246_7A,SNI,PID7,0.0144,0.0004,0.0052,0.0164,0.3344,0.494,0.0004,0.1256,0.0092
GSM7866247_14A,SNI,PID14,0.014134275618374558,0.0,0.00513973658849984,0.015419209765499518,0.5316415033729521,0.35175072277545777,0.00032123353678124,0.07484741407002891,0.006745904272406039
