,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
CSRP3,4.8765277590122205,63.68026997688203,6.959639074548131e-16,5.015924646518147,0.13939688750592638,1.2126475123492663e-11,7,7,GSE278227_CCI_DRG,M_1W_IL_vs_CL,DRG
GAL,4.6961401025728975,38.203715734515704,6.668824107110812e-14,7.334436526465198,2.638296423892301,5.80987956211494e-10,7,7,GSE278227_CCI_DRG,M_1W_IL_vs_CL,DRG
SSC5D,1.731795352435058,36.32551902556571,1.222587663937067e-13,6.875806890646979,5.144011538211921,7.100789152146486e-10,7,7,GSE278227_CCI_DRG,M_1W_IL_vs_CL,DRG
ATF3,4.7007590130533785,38.81778440511442,2.289495028911615e-13,8.124300501171133,3.423541488117755,9.973040345938995e-10,7,7,GSE278227_CCI_DRG,M_1W_IL_vs_CL,DRG
STAC2,5.604444342864065,35.52595234805615,9.41270388596086e-13,6.501235825121113,0.8967914822570476,2.978505769875921e-09,7,7,GSE278227_CCI_DRG,M_1W_IL_vs_CL,DRG
NPY,7.430455417540509,41.48373991226697,1.0256562568443254e-12,8.251754761270682,0.8212993437301729,2.978505769875921e-09,7,7,GSE278227_CCI_DRG,M_1W_IL_vs_CL,DRG
VGF,2.6610071381397633,30.19933432419741,1.3757865852539235e-12,8.185330029534214,5.52432289139445,3.424529351637766e-09,7,7,GSE278227_CCI_DRG,M_1W_IL_vs_CL,DRG
SMAGP,2.9407890778600154,30.31367850376568,6.252429080566122e-12,4.018167266364098,1.0773781885040825,1.3617790537473013e-08,7,7,GSE278227_CCI_DRG,M_1W_IL_vs_CL,DRG
REG3B,4.832903490110071,31.862734101443785,1.600260461642392e-11,5.7457562193484835,0.9128527292384131,2.5707185203650053e-08,7,7,GSE278227_CCI_DRG,M_1W_IL_vs_CL,DRG
RASD1,2.3477860416483076,25.751041371298104,1.761483967009157e-11,4.620095638162817,2.2723095965145093,2.5707185203650053e-08,7,7,GSE278227_CCI_DRG,M_1W_IL_vs_CL,DRG
STAT3,0.5060908651564198,23.8578268779334,1.7780471546098462e-11,8.686816916036658,8.180726050880239,2.5707185203650053e-08,7,7,GSE278227_CCI_DRG,M_1W_IL_vs_CL,DRG
