,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
UBE4B,0.056177230915461784,2.5357336968438373,0.0335603078171435,7.639816803555583,7.583639572640121,0.07527191067135539,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
PTBP1,0.1916580068077396,2.467990503166746,0.033613525919983525,5.8162379683820635,5.624579961574324,0.07537603214000724,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
CLTRN,0.06618414582860448,2.7426941957879545,0.03361546551837509,0.06618414582860448,0.0,0.07537603214000724,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
GALNT11,-0.07708498146365628,-2.40718852819465,0.0336848274419031,5.6429169327339315,5.720001914197588,0.07552175069106334,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
RASGRP1,-0.23779523928528157,-2.4033815316647766,0.03369594488968394,4.58023223779864,4.8180274770839215,0.07553686359930577,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
CNOT1,-0.05674584701466667,-2.3973842027762204,0.03372758816918286,6.539124373777166,6.5958702207918325,0.07559797976778272,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
SLCO2B1,0.28803552236065944,2.459498834602658,0.03374042541000566,4.457265989455305,4.169230467094645,0.0756169331452133,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
MRPL51,-0.16194850708146724,-2.396297663715956,0.033757301393615574,5.344972709618669,5.506921216700136,0.07564493180374074,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
MR1,0.29273918674135135,2.579219166135654,0.0337671079035346,2.6652611306001193,2.372521943858768,0.07565708364365878,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
IDO2,0.4120104770603028,2.5199790901979924,0.03384014182905085,0.8364682127712858,0.424457735710983,0.0758070281995823,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ZFP668,0.16346565882215458,2.420695274981849,0.03384281547469619,3.3506910693752867,3.187225410553132,0.0758070281995823,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
CYP4V3,0.2321708193828682,2.455770446880616,0.03385451488124572,3.499345050316517,3.267174230933649,0.07582339376270696,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
EIF4H,-0.04933820990463289,-2.3969926078720536,0.033860330778332295,7.947082987361903,7.996421197266536,0.07582657959040316,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ZFYVE1,-0.0896751715175883,-2.431537955003369,0.033870419980575515,5.657700953604964,5.747376125122552,0.07583933295858235,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
CIZ1,0.10213235881106453,2.3972471586970006,0.033883192522558905,5.514991342320992,5.412858983509928,0.07585809051068156,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
TADA2A,-0.13678296468207485,-2.3960775014582163,0.03390725707760057,4.090501738141634,4.227284702823709,0.0759021206098973,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
HSD11B2,-0.32554402693154727,-2.3954027126961934,0.033984282792067735,1.1262144381271268,1.4517584650586741,0.07605853188118962,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
CPSF3,0.05592022997802104,2.4175017978038653,0.03398594344213073,5.158861931993549,5.102941702015528,0.07605853188118962,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
PCDHGA2,-0.10030056469167903,-2.4887205153363183,0.03403007950846527,4.515794560819513,4.616095125511192,0.07614743189895008,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ARHGAP19,-0.2116334979702872,-2.631217069146244,0.03403544911934459,5.788985692474851,6.000619190445138,0.07614957432600057,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
IFT52,0.0889127362831088,2.461876696478417,0.034091162693463115,5.5985271172309385,5.50961438094783,0.07626433919980298,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
PPIE,0.12786138039820427,2.3915382863369525,0.03412127429109313,3.966180489044635,3.8383191086464308,0.07632180831907416,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
MRPL55,-0.1311648727366732,-2.4137659784161136,0.034174882000924216,4.289719026934944,4.420883899671617,0.07643181138446949,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
RPS10L1,0.3130930366136333,2.392170868659137,0.03418134687249472,4.071995678050608,3.7589026414369746,0.07643636507804953,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
SLC20A2,0.2237554679632332,2.4430083602805945,0.03419131340685865,5.664955885978641,5.441200418015407,0.07644874699947836,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
LPAR3,-0.5213435284592478,-2.400589943948915,0.034196164817000586,2.6619228002665585,3.1832663287258063,0.07644969023013123,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
LGSN,0.10049402180275284,2.729465060358481,0.03421028770994165,0.10049402180275284,0.0,0.07647135806059877,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
RIMS3,-0.20141170279693998,-2.5666583688825795,0.03422778390352237,7.333645519260706,7.535057222057646,0.07650055975018034,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
GRM8,-0.2802542996512245,-2.4931071219949152,0.03428096314040518,3.5162077105045526,3.796462010155777,0.0766094966774897,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
QTRT2,0.19786726534422794,2.551851203249625,0.034298107608801545,4.441763223055069,4.2438959577108415,0.07663788700418253,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
SPATA16,-0.14678380912019162,-2.386339104292707,0.034365493446891285,0.3288738513781411,0.47565766049833275,0.07677851798056914,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ZNHIT2,-0.18493189639590346,-2.3869372260823685,0.03444867632789888,3.985091888967014,4.170023785362917,0.07695440133875314,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
PINK1,-0.09578436336118479,-2.4841163622607283,0.034503596354127315,6.270875682852015,6.3666600462132,0.07706711135963289,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ME2,-0.08533609628287309,-2.3990182404282634,0.03453212121725021,5.619715140492127,5.705051236775,0.07712084369675483,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
MAL2,-0.2838176637248728,-2.3930437664469224,0.034540578760122856,3.453263704162194,3.737081367887067,0.07712975143239234,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ALX4,-0.16653491069006432,-2.3929507715910123,0.03455886149683439,0.5074543546742409,0.6739892653643053,0.07716059386466555,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
FBXW17,-0.1032517788141849,-2.384096780684781,0.03461192344455156,3.9633420645168824,4.066593843331067,0.07726907084846919,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ITGAD,0.22292279959118907,2.548509106663297,0.034625064389766744,0.3878816797532769,0.16495888016208785,0.07728841002366584,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
VGLL4,-0.12327922578532657,-2.467809357267865,0.03463519022101275,6.207943498195145,6.3312227239804715,0.07729487763435962,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
NLGN3,-0.15218149528327274,-2.6514594866066115,0.03463691891906468,6.0350403641061465,6.187221859389419,0.07729487763435962,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
LRIF1,-0.13977371550775253,-2.3914578630477803,0.034688389781697165,3.767735628471498,3.9075093439792505,0.07739973099448112,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ERP44,-0.11671046907456706,-2.6033859723163837,0.034732611849684805,5.51611267644971,5.632823145524277,0.07748838520084152,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
CAP2,0.14423349087716586,2.3806831401821484,0.034754076956720344,2.98274580446509,2.838512313587924,0.0775262523195084,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
VMP1,0.07302485525255253,2.399219446389567,0.03476039653281223,6.1703762235473905,6.097351368294838,0.07753032873608248,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
ZSCAN2,0.19351780070541524,2.4954631129524545,0.03477476603352152,2.1959336482351834,2.002415847529768,0.07755235650246128,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
TH,-0.524753014754827,-2.3807943439230836,0.03478403763892246,0.7817329236504807,1.3064859384053078,0.07756301106074454,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
HSD17B4,0.0502199164524928,2.463740146791736,0.034813968785223116,6.58166096691496,6.531441050462467,0.07761972448833042,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
SPINDOC,0.14123893948017274,2.4732662250157187,0.034826476223654215,3.9172970434356835,3.776058103955511,0.07763758113459675,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
GIT1,0.10601020523234084,2.380952229116922,0.03483498964443089,7.861071141878552,7.7550609366462115,0.07764401294010316,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
MYO5A,-0.0817471565625425,-2.439304322790817,0.034838358897280194,9.525039772400358,9.6067869289629,0.07764401294010316,7,7,GSE278227_CCI_DRG,F_1W_IL_vs_CL,DRG
