symbol,present,top_region,top_label_log2,top_detection,global_mean,detection_global,tier,sec_mean_top,sec_sd_top,log2_all_regions,snRNA_lineage,crossmodal
CRISP3,True,MeningealFibro,0.0,0.0,0.0,0.0,broad/low,0.0,0.0,MeningealFibro:0.00;WhiteMatter:0.00;WhiteMatter:0.00;DorsalHorn:0.00;VentralHorn:0.00;Ependymal:0.00;MeningealFibro:0.00,,n/a
WBP1L,True,MeningealFibro,1.039,0.385,0.8809,0.189,restricted,1.6687,0.174,MeningealFibro:-0.66;WhiteMatter:0.54;WhiteMatter:-0.98;DorsalHorn:0.73;VentralHorn:0.77;Ependymal:0.44;MeningealFibro:1.04,Immune,divergent
ITPKC,True,DorsalHorn,1.523,0.123,0.1712,0.039,restricted,0.4863,0.1395,MeningealFibro:-0.61;WhiteMatter:-0.14;WhiteMatter:-1.30;DorsalHorn:1.52;VentralHorn:0.64;Ependymal:0.72;MeningealFibro:0.07,,n/a
ACVR1,True,DorsalHorn,1.067,0.27,0.5173,0.118,restricted,0.9971,0.3957,MeningealFibro:-1.51;WhiteMatter:-0.24;WhiteMatter:-1.09;DorsalHorn:1.07;VentralHorn:0.88;Ependymal:0.73;MeningealFibro:0.63,,n/a
LNP1,True,MeningealFibro,0.0,0.0,0.0,0.0,broad/low,0.0,0.0,MeningealFibro:0.00;WhiteMatter:0.00;WhiteMatter:0.00;DorsalHorn:0.00;VentralHorn:0.00;Ependymal:0.00;MeningealFibro:0.00,,n/a
AGRN,True,DorsalHorn,1.017,0.691,1.5394,0.324,restricted,3.148,0.2462,MeningealFibro:0.05;WhiteMatter:-0.25;WhiteMatter:-1.05;DorsalHorn:1.02;VentralHorn:0.69;Ependymal:0.68;MeningealFibro:0.64,,n/a
VIP,True,Ependymal,1.332,0.036,0.0589,0.014,restricted,0.1418,0.0584,MeningealFibro:-15.85;WhiteMatter:-1.92;WhiteMatter:-1.22;DorsalHorn:1.05;VentralHorn:-15.85;Ependymal:1.33;MeningealFibro:-0.77,,n/a
REG3B,True,MeningealFibro,2.468,0.01,0.0066,0.002,restricted,0.0125,0.0216,MeningealFibro:-12.68;WhiteMatter:-12.68;WhiteMatter:-0.80;DorsalHorn:-12.68;VentralHorn:1.89;Ependymal:0.67;MeningealFibro:2.47,,n/a
TNS3,True,MeningealFibro,0.778,0.596,1.6714,0.341,enriched,3.0173,0.2344,MeningealFibro:-0.08;WhiteMatter:0.59;WhiteMatter:-0.71;DorsalHorn:0.54;VentralHorn:0.41;Ependymal:0.33;MeningealFibro:0.78,Glial,divergent
ANKRD1,True,MeningealFibro,2.578,0.01,0.0056,0.001,restricted,0.0115,0.0199,MeningealFibro:-12.46;WhiteMatter:-12.46;WhiteMatter:-12.46;DorsalHorn:-12.46;VentralHorn:1.98;Ependymal:1.33;MeningealFibro:2.58,,n/a
CTTN,True,DorsalHorn,0.756,0.621,1.6382,0.345,enriched,2.7112,0.2462,MeningealFibro:-1.09;WhiteMatter:0.05;WhiteMatter:-0.97;DorsalHorn:0.76;VentralHorn:0.67;Ependymal:0.70;MeningealFibro:0.51,Neuronal,consistent
RUBCN,True,DorsalHorn,0.753,0.484,1.2132,0.259,enriched,1.9707,0.397,MeningealFibro:-1.10;WhiteMatter:0.29;WhiteMatter:-0.94;DorsalHorn:0.75;VentralHorn:0.57;Ependymal:0.63;MeningealFibro:0.41,Glial|Neuronal,n/a
MEGF11,True,VentralHorn,0.917,0.172,0.3766,0.085,enriched,0.6383,0.1993,MeningealFibro:-2.81;WhiteMatter:-0.37;WhiteMatter:-1.17;DorsalHorn:0.76;VentralHorn:0.92;Ependymal:0.87;MeningealFibro:0.52,Glial,divergent
