设置,n,rho_Spearman,delta_abs_median,delta_mean,rho_delta_tors,top10_recall,sec_mean,speedup,section
金标准（基准）,15,1.0,0.0,0.0,0.0,1.0,43.664,1.0,max_evals
exh2 + max_evals 2000,15,-0.2285714285714285,1.9580000000000002,2.1721999999999997,0.26331322367113136,0.0,1.9493333333333331,22.399452804377567,max_evals
exh2 + max_evals 6000,15,0.11071428571428568,1.362,1.7056,0.24888510182613785,0.0,2.046,21.34115347018573,max_evals
金标准（基准）,12,1.0,0.0,0.0,0.0,1.0,27.225833333333338,1.0,exhaustiveness
exhaustiveness 2（默认）,12,0.7832167832167832,0.08750000000000036,0.4478333333333331,0.028675492907956016,1.0,9.379999999999999,2.9025408670931068,exhaustiveness
exhaustiveness 1,12,0.7832167832167832,0.1739999999999995,0.4531666666666665,0.11944496183048914,1.0,5.930833333333332,4.5905578193058885,exhaustiveness
