celltype,sample,SPRR1A,ATF3,TFE3,CDHR5,GALNS,CHL1,FLNC,RNF19B,SRRM4,ECEL1,FLRT3,PTPN23,MAPK14,VASH2,TNIK,WDR81,CCDC160,SLC2A1,ANKRD13B,NPY,AXL,SERPINE1,WBP1L,ITPKC,ACVR1,LNP1,AGRN,VIP,TNS3,ANKRD1,CTTN,RUBCN,MEGF11,condition,n_cells
Neuron,GSM9674452_Sham2,0.0,0.0006438911,0.096240215,0.00029935446,0.096633,0.91368985,0.0009714271,0.09850172,0.7034807,0.053658113,0.33277228,0.14468175,0.544538,0.08987047,1.7886658,0.034979045,0.03800752,0.035027668,0.14805605,0.027620897,0.010779678,0.0018781677,0.18150164,0.035249684,0.54233485,0.0010075256,0.44815817,0.0010815513,0.11749014,0.000975224,0.2949976,0.3844438,0.15868717,Sham,3317
Neuron,GSM9674453_Sham3,0.0042673815,0.0037314,0.08897101,0.00021675958,0.12550409,0.76674795,0.0027345498,0.09830206,0.6103246,0.042042118,0.34871233,0.113716885,0.4415275,0.06325524,1.6087946,0.029524786,0.06996898,0.04658727,0.10806411,0.044756833,0.0134845,0.0011323658,0.11708805,0.032074675,0.4390742,0.0037016566,0.3505077,0.0024743443,0.121448256,0.0010959455,0.22939074,0.36096328,0.12564595,Sham,5334
Neuron,GSM9674454_SNI1,0.0004948881,0.0006754039,0.113576494,0.00025083244,0.12553962,0.8524783,0.00086055003,0.1368958,0.853184,0.0428687,0.14943482,0.15121154,0.73618627,0.09660436,1.9683061,0.049604107,0.03464018,0.030884389,0.1725437,0.022285601,0.004972231,0.00088071334,0.22097355,0.04250356,0.6018858,0.00021461427,0.49534914,0.0009365529,0.15067331,0.00075230736,0.25488007,0.4645747,0.16416039,SNI,12047
Neuron,GSM9674455_SNI2,0.0002010499,0.0004350812,0.10131957,0.00023839594,0.08094058,0.92343736,0.00087133516,0.1037929,0.68259656,0.05778146,0.2638398,0.13893057,0.5721698,0.07050458,1.8167156,0.043595202,0.033372823,0.03349479,0.13373424,0.026820714,0.008901555,0.00042806932,0.19047621,0.03819153,0.537743,0.0007983592,0.42817506,0.00055009755,0.13342202,0.00059296243,0.26169902,0.4027636,0.14570384,SNI,5524
Neuron,GSM9674456_SNI3,0.00786206,0.0030439084,0.0926331,0.00018611949,0.10966654,0.765272,0.0025108182,0.08952557,0.617867,0.038717393,0.32322434,0.11389145,0.42546275,0.062054753,1.65348,0.025320316,0.057601646,0.04374153,0.10607327,0.036918182,0.013318911,0.0018693896,0.1263669,0.03070027,0.43021235,0.0031506643,0.37239674,0.0021402303,0.110414945,0.0015021297,0.22483659,0.34683314,0.120888166,SNI,8650
OPC,GSM9674452_Sham2,0.0,0.011499375,0.033875067,0.0,0.02392214,0.49258217,0.0,0.0980666,0.07493732,0.049073998,0.31615624,0.08720551,0.29222426,0.006682771,2.099381,0.037949998,0.0,0.1017854,0.059938334,0.014507433,0.12544303,0.0,0.13507539,0.07221849,0.38317278,0.0,0.36760035,0.0,1.4895113,0.0,0.120867,0.49234113,1.904719,Sham,60
OPC,GSM9674453_Sham3,0.012714497,0.0,0.059794106,0.0,0.02283662,0.3932193,0.0,0.10711878,0.061705418,0.0,0.24518597,0.09797307,0.22674066,0.047444064,2.0029652,0.020974264,0.012109324,0.010780613,0.018540217,0.05338243,0.019892322,0.0,0.21133132,0.041183423,0.608924,0.0,0.25975904,0.0,1.4019469,0.0,0.13693157,0.5070553,1.7812104,Sham,101
OPC,GSM9674455_SNI2,0.0,0.0,0.11274531,0.0,0.0070843906,0.5134274,0.0,0.041813813,0.13233575,0.029461313,0.15000111,0.110878244,0.26085916,0.03611722,1.8248029,0.020725373,0.0,0.055310037,0.054770704,0.0,0.033117607,0.0,0.16199215,0.026196437,0.478026,0.0,0.4530427,0.0,1.6371808,0.0,0.13643965,0.58584327,1.886718,SNI,120
OPC,GSM9674456_SNI3,0.0,0.0,0.047526248,0.0,0.065833524,0.34162506,0.0,0.077268675,0.08196689,0.03986336,0.17287764,0.11521977,0.24372855,0.0031826964,1.8689034,0.020887593,0.015761929,0.029182568,0.06409181,0.012472565,0.044520497,0.0,0.1533004,0.010213808,0.37475485,0.0,0.30097583,0.0,1.6302167,0.0,0.09550807,0.32824412,1.9141878,SNI,127
Oligodendrocyte,GSM9674451_Sham1,0.0,0.0,0.0,0.0,0.09506248,0.38891155,0.0,0.0,0.34080395,0.0,0.0,0.13953508,0.674295,0.0,1.3790672,0.0,0.0,0.0,0.1220061,0.0,0.0,0.0,0.09506248,0.07212452,0.13210204,0.0,0.0917665,0.0,0.13183038,0.0,0.0,0.571074,0.0,Sham,14
Oligodendrocyte,GSM9674452_Sham2,0.0,0.0,0.05245993,0.0,0.014551943,0.13634384,0.0016663605,0.03627713,0.09427883,0.013601903,0.1175437,0.12020529,0.31316936,0.013421884,0.8565811,0.06016073,0.015696764,0.17858788,0.093152426,0.0065763784,0.0010832729,0.00026143863,0.21424486,0.031061051,0.34586704,0.0,0.28111327,0.0,0.51898295,0.0,0.1577826,0.4050783,0.044758342,Sham,1044
Oligodendrocyte,GSM9674453_Sham3,0.009935671,0.003915394,0.037475586,0.0,0.03687373,0.13798021,0.014271754,0.053380467,0.06624023,0.02405649,0.08239644,0.08397908,0.273986,0.006262672,0.72048223,0.030001385,0.023466013,0.13404524,0.05788887,0.024171047,0.010282337,0.0,0.20809951,0.02186702,0.28285524,0.00061744696,0.17500918,0.0,0.49044734,0.0,0.116866685,0.46376038,0.027965989,Sham,1035
Oligodendrocyte,GSM9674454_SNI1,0.00897141,0.00624438,0.07171394,0.0,0.046994638,0.29560563,0.0,0.03276046,0.32503986,0.014093862,0.109795414,0.1229843,0.3934435,0.008587774,1.2557178,0.01288166,0.013739102,0.06364417,0.11866547,0.01289071,0.0,0.0,0.27469137,0.057151515,0.258996,0.0,0.3622037,0.0,0.6499581,0.0,0.14385875,0.30592382,0.05185958,SNI,117
Oligodendrocyte,GSM9674455_SNI2,0.00076971925,0.0013710982,0.054667454,0.0,0.026598504,0.25488088,0.00076965033,0.046990566,0.1330423,0.023925677,0.08752835,0.10260882,0.32416895,0.016325463,0.95715415,0.045960695,0.017183263,0.09097633,0.09053327,0.008821609,0.002401819,0.0002871827,0.24374142,0.023849087,0.34890872,0.00012269524,0.23190995,0.0008491921,0.4941344,0.00097255054,0.13422354,0.40405354,0.04927257,SNI,1963
Oligodendrocyte,GSM9674456_SNI3,0.0052679772,0.007033476,0.045634672,0.0,0.031572547,0.14728862,0.0077608055,0.052540585,0.084683314,0.020336635,0.081070915,0.086142115,0.24801262,0.011473971,0.7066929,0.044527296,0.011471502,0.08836692,0.057170913,0.014528473,0.014653569,0.002086329,0.22033267,0.020503908,0.27200264,0.00023997878,0.17832962,0.0,0.40738812,0.0003214269,0.09687669,0.43835014,0.032507367,SNI,1576
