symbol,n_paired,median_affinity_this,median_affinity_adra2a,median_diff_this_minus_adra2a,p_wilcoxon
ACVR1,620,-7.3905,-7.127000000000001,-0.15200000000000058,6.675596010226711e-13
AXL,560,-6.121,-7.115,1.0069999999999997,1.005431787731547e-91
GALNS,620,-6.199999999999999,-7.127000000000001,0.9464999999999999,3.4395508207885343e-102
ITPKC,620,-4.718500000000001,-7.127000000000001,2.3939999999999997,3.2527223259798276e-103
MAPK14,618,-6.3445,-7.1315,0.7459999999999996,1.2396104544328827e-68
SERPINE1,620,-5.6370000000000005,-7.127000000000001,1.585,3.862308833159654e-101
SLC2A1,620,-7.4785,-7.127000000000001,-0.3560000000000003,1.838194410596112e-43
TNIK,620,-6.5885,-7.127000000000001,0.47250000000000014,2.5913807120173067e-45
VASH2,620,-6.3595,-7.127000000000001,0.7785000000000002,5.510080141529031e-85
