cell_type,spearman_rho_hub_vs_marker,spearman_p
immune,0.1654784240150094,0.30751638027014383
fibroblast,0.398686679174484,0.010828311501417894
oligodendrocyte,0.17729831144465294,0.27374678764964705
oligodendrocyte_precursor,0.36210131332082557,0.021673448586942045
