celltype,symbol,n_cells,median_n_genes,is_contaminant,mean_lognorm,pct_expressing,pct_expressing_allcells,ambient_index,ambient_suspect
Astrocyte,SPRR1A,527,2042.0,False,0.006058992352336645,0.0056925996204933585,0.002688172043010753,2.395777702331543,False
Astrocyte,ATF3,527,2042.0,False,0.004116029012948275,0.0056925996204933585,0.0037929002798644867,2.584730386734009,False
Astrocyte,TFE3,527,2042.0,False,0.06130708009004593,0.06451612903225806,0.15414641331565768,0.6174784302711487,False
Astrocyte,CDHR5,527,2042.0,False,0.0,0.0,0.0004050670201797025,0.0,False
Astrocyte,GALNS,527,2042.0,False,0.030106371268630028,0.026565464895635674,0.2014656061275593,0.4332985281944275,False
Astrocyte,CHL1,527,2042.0,False,1.852859377861023,0.8842504743833017,0.5986890558256003,0.42537423968315125,False
Astrocyte,FLNC,527,2042.0,False,0.07124650478363037,0.056925996204933584,0.004013845927235233,1.4456977844238281,False
Astrocyte,RNF19B,527,2042.0,False,0.08830364793539047,0.07590132827324478,0.1806598910001473,0.6009775996208191,False
Astrocyte,SRRM4,527,2042.0,False,0.07311619073152542,0.07400379506641366,0.585156134924142,0.3115979731082916,False
Astrocyte,ECEL1,527,2042.0,False,0.02243720181286335,0.022770398481973434,0.055457357490057445,0.5725197196006775,False
Astrocyte,FLRT3,527,2042.0,False,0.048313673585653305,0.04933586337760911,0.27183679481514217,0.3545242249965668,False
Astrocyte,PTPN23,527,2042.0,False,0.05197511613368988,0.05313092979127135,0.22044851966416262,0.49145087599754333,False
Astrocyte,MAPK14,527,2042.0,False,0.269024521112442,0.23908918406072105,0.5992045956694653,0.5980677604675293,False
Astrocyte,VASH2,527,2042.0,False,0.004079368896782398,0.003795066413662239,0.1312233024009427,0.2372254729270935,False
Astrocyte,TNIK,527,2042.0,False,2.6119155883789062,0.9715370018975332,0.8801001620268081,0.5336504578590393,False
Astrocyte,WDR81,527,2042.0,False,0.046402350068092346,0.04174573055028463,0.07646560612755929,0.8654940128326416,False
Astrocyte,CCDC160,527,2042.0,False,0.006180120632052422,0.0056925996204933585,0.07403520400648107,0.4672718644142151,False
Astrocyte,SLC2A1,527,2042.0,False,0.32133948802948,0.2637571157495256,0.07156797761084106,1.2788891792297363,False
