celltype,symbol,n_cells,median_n_genes,is_contaminant,mean_lognorm,pct_expressing,pct_expressing_allcells,ambient_index,ambient_suspect
Endothelial,SPRR1A,31,1269.0,False,0.0,0.0,0.35049630603272447,0.8202210068702698,False
Endothelial,ATF3,31,1269.0,False,0.8562740087509155,0.41935483870967744,0.6550786384444545,0.5489929914474487,False
Endothelial,TFE3,31,1269.0,False,0.07867851108312607,0.06451612903225806,0.45147985314780403,0.24700143933296204,False
Endothelial,CDHR5,31,1269.0,False,0.0,0.0,0.00013597425554095092,0.0,False
Endothelial,GALNS,31,1269.0,False,0.0,0.0,0.06916557131849703,0.31384408473968506,False
Endothelial,CHL1,31,1269.0,False,0.11264200508594513,0.06451612903225806,0.5727235643384853,0.4579238295555115,False
Endothelial,FLNC,31,1269.0,False,0.17409470677375793,0.0967741935483871,0.1473054435026968,0.37347331643104553,False
Endothelial,RNF19B,31,1269.0,False,0.036039333790540695,0.03225806451612903,0.645243167293659,0.31699809432029724,False
Endothelial,SRRM4,31,1269.0,False,0.03261895105242729,0.03225806451612903,0.44771789874450435,0.26938992738723755,False
Endothelial,ECEL1,31,1269.0,False,0.0,0.0,0.23292389974164893,0.4603279232978821,False
Endothelial,FLRT3,31,1269.0,False,0.0,0.0,0.4551964827992567,0.3719777762889862,False
Endothelial,PTPN23,31,1269.0,False,0.07401400059461594,0.06451612903225806,0.45306621946244846,0.3615766763687134,False
Endothelial,MAPK14,31,1269.0,False,0.1170559972524643,0.06451612903225806,0.6299234011693786,0.291609525680542,False
Endothelial,VASH2,31,1269.0,False,0.0,0.0,0.16752028282645154,0.16123102605342865,False
Endothelial,TNIK,31,1269.0,False,0.12383928149938583,0.0967741935483871,0.5657888773058968,0.31254109740257263,False
Endothelial,WDR81,31,1269.0,False,0.07921472936868668,0.06451612903225806,0.27947241988850113,0.17669899761676788,False
Endothelial,CCDC160,31,1269.0,False,0.06847140938043594,0.03225806451612903,0.12641073290123736,0.31437236070632935,False
Endothelial,SLC2A1,31,1269.0,False,0.3895377516746521,0.22580645161290322,0.4469927027149526,0.35200121998786926,False
Endothelial,ANKRD13B,31,1269.0,False,0.040925901383161545,0.03225806451612903,0.5740379821420478,0.28024840354919434,False
Endothelial,NPY,31,1269.0,False,0.1225452572107315,0.06451612903225806,0.10932330145492454,0.8675921559333801,False
Endothelial,AXL,31,1269.0,False,0.04870513081550598,0.03225806451612903,0.0634546525857771,0.1415647715330124,False
Endothelial,SERPINE1,31,1269.0,False,0.05832893028855324,0.03225806451612903,0.018265874994334404,0.0,False
Endothelial,WBP1L,31,1269.0,False,0.16728413105010986,0.12903225806451613,0.3422925259484204,0.324909508228302,False
Endothelial,ITPKC,31,1269.0,False,0.08183667063713074,0.06451612903225806,0.19380863889770203,0.288307785987854,False
Endothelial,ACVR1,31,1269.0,False,0.08623530715703964,0.06451612903225806,0.3714816661378779,0.30160656571388245,False
Endothelial,LNP1,31,1269.0,False,0.0,0.0,0.00018129900738793456,0.0,False
Endothelial,AGRN,31,1269.0,False,0.24392689764499664,0.16129032258064516,0.24679327380682592,0.240622416138649,False
Endothelial,VIP,31,1269.0,False,0.0,0.0,0.0009064950369396728,0.0,False
Endothelial,REG3B,31,1269.0,False,0.0,0.0,0.0074785840547523,1.1077539920806885,False
Endothelial,TNS3,31,1269.0,False,0.09746643900871277,0.06451612903225806,0.19408058740878395,0.31325721740722656,False
Endothelial,ANKRD1,31,1269.0,False,0.0,0.0,0.01953496804604995,0.0,False
Endothelial,CTTN,31,1269.0,False,0.35589689016342163,0.25806451612903225,0.7173095227303631,0.3559931814670563,False
Endothelial,RUBCN,31,1269.0,False,0.020875710994005203,0.03225806451612903,0.4913203100213026,0.28080323338508606,False
Endothelial,MEGF11,31,1269.0,False,0.0,0.0,0.0062094910030367585,0.0,False
Erythrocyte,SPRR1A,2058,6401.5,True,0.1323906034231186,0.271622934888241,0.35049630603272447,0.8202210068702698,False
Erythrocyte,ATF3,2058,6401.5,True,0.9566589593887329,0.8158406219630709,0.6550786384444545,0.5489929914474487,False
Erythrocyte,TFE3,2058,6401.5,True,0.16067220270633698,0.5092322643343051,0.45147985314780403,0.24700143933296204,False
Erythrocyte,CDHR5,2058,6401.5,True,0.0,0.0,0.00013597425554095092,0.0,False
Erythrocyte,GALNS,2058,6401.5,True,0.008204614743590355,0.0413022351797862,0.06916557131849703,0.31384408473968506,False
Erythrocyte,CHL1,2058,6401.5,True,0.4053330421447754,0.6569484936831875,0.5727235643384853,0.4579238295555115,False
Erythrocyte,FLNC,2058,6401.5,True,0.005387472920119762,0.01652089407191448,0.1473054435026968,0.37347331643104553,False
Erythrocyte,RNF19B,2058,6401.5,True,0.34863045811653137,0.7691933916423712,0.645243167293659,0.31699809432029724,False
Erythrocyte,SRRM4,2058,6401.5,True,0.1747637838125229,0.5286686103012633,0.44771789874450435,0.26938992738723755,False
Erythrocyte,ECEL1,2058,6401.5,True,0.02164076641201973,0.07045675413022352,0.23292389974164893,0.4603279232978821,False
Erythrocyte,FLRT3,2058,6401.5,True,0.20405149459838867,0.44752186588921283,0.4551964827992567,0.3719777762889862,False
