symbol,Z_FE,p_FE,FDR_FE,Z_RE,p_RE,FDR_RE,I2,tau2,consistency,nerve_injury_consistency,incision_agreement
TNIK,8.001721910117771,1.2269123004272406e-15,4.320819658866317e-13,3.3378487209433763,0.000844297031354,0.0212342000190516,68.91428881687838,0.8601688709951038,1.0,1.0,1.0
SLC2A1,6.830051928649309,8.488390073514022e-12,6.272313950750183e-10,6.830051928649308,8.488390073514117e-12,7.024991624840285e-08,0.0,0.0,1.0,1.0,1.0
ACVR1,6.945779566689642,3.763760741653719e-12,3.196591231838135e-10,2.1494006313315457,0.0316026554513404,0.1880255762151642,82.00671308743463,1.768374121747864,1.0,1.0,1.0
SERPINE1,6.919855555636437,4.5210438778582896e-12,3.7045702112034856e-10,2.866298950929935,0.0041530185740768,0.0595910247963663,72.83704290271208,1.0404243518282414,1.0,1.0,1.0
MAPK14,6.08652240527476,1.1538951657624339e-09,3.9137854064958615e-08,2.431537866729972,0.0150348766506945,0.125558667165639,75.068956908118,1.1683021679997203,1.0,1.0,1.0
AXL,6.1424156394306655,8.127584564600686e-10,2.9118567037504454e-08,2.7924269498847454,0.0052314278390116,0.0677017932692114,66.83316749321301,0.7818497427967923,1.0,1.0,1.0
VASH2,5.997392714628559,2.00510749286317e-09,6.394708905948207e-08,2.1546732626069733,0.0311874115119608,0.1864261593882178,74.8910087513502,1.157272586610398,0.8333333333333334,0.8,1.0
GALNS,5.793467826605428,6.894769858610051e-09,1.8466380372121938e-07,3.2710378166298355,0.0010715358057478,0.025121898947221,45.825572688186696,0.3282077430922296,0.8333333333333334,0.8,1.0
ITPKC,7.178838587606487,7.030609030703655e-13,8.13780704029419e-11,1.7672998785519831,0.0771780201815293,0.2960488041818481,84.43265497002491,2.1044138206444334,1.0,1.0,1.0
ADRA2A,4.836987432366696,1.318217593049177e-06,1.5089306777420455e-05,3.081659415576756,0.0020585021827476,0.0385870080734307,44.26841142820173,0.3081965450591795,1.0,1.0,1.0
