chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,symbol,tag,exh,max_evals,drug_lc,pref_name,mw,logp,tpsa,hbd,hba,rotb,charge,n_torsions,drh_phase,drh_moa,drh_indication,pain_prior,atc,scored,neg_aff,pct_in_target,n_ligands_target,z_in_target
CHEMBL10878,-7.461,3,0.0,0.0,8.38,0,,ACVR1,t1_cns,1,0,agomelatine,AGOMELATINE,243.3,2.53,38.3,1.0,2.0,4.0,0.0,8.0,Launched,melatonin receptor agonist|serotonin receptor antagonist,depression,False,N06AX22,True,7.461,44.487804878048784,3075.0,-0.055613125186727695
CHEMBL1088,-8.778,2,0.0,0.0,14.01,0,,ACVR1,t1_cns,1,0,mesoridazine,MESORIDAZINE,386.6,4.9,29.5,0.0,4.0,4.0,0.0,8.0,Launched,dopamine receptor antagonist,schizophrenia,False,N05AC03,True,8.778,78.65040650406505,3075.0,0.7893555104906435
CHEMBL1089,-5.847,3,0.0,0.0,5.52,0,,ACVR1,t1_cns,1,0,phenelzine,PHENELZINE,136.2,0.69,38.0,2.0,2.0,3.0,0.0,8.0,Launched,monoamine oxidase inhibitor,depression,False,N06AF03,True,5.847,13.739837398373982,3075.0,-1.0911327743767631
CHEMBL1089221,-7.848,2,0.0,0.0,13.97,0,,ACVR1,t1_cns,1,0,bendazac,BENDAZAC,282.3,2.55,64.3,1.0,3.0,5.0,0.0,12.0,Launched,cyclooxygenase inhibitor,muscle pain|joint pain,False,M02AA11;S01BC07,True,7.848,53.333333333333336,3075.0,0.1926806196934107
CHEMBL109,-4.455,3,0.0,0.0,6.78,0,,ACVR1,t1_cns,1,0,valproic acid,VALPROIC ACID,144.2,2.29,37.3,1.0,1.0,5.0,0.0,12.0,,,,True,N03AG01,True,4.455,4.308943089430894,3075.0,-1.984220352860363
CHEMBL1093,-6.184,3,0.0,0.0,12.74,0,,ACVR1,t1_cns,1,0,articaine,ARTICAINE,284.4,2.17,67.4,2.0,5.0,6.0,0.0,14.0,Launched,local anesthetic,local anesthetic,False,N01BB58;N01BB08,True,6.184,17.67479674796748,3075.0,-0.874918324700777
CHEMBL1094,-7.1,2,0.0,0.0,11.44,0,,ACVR1,t1_cns,1,0,felbamate,FELBAMATE,238.2,0.96,104.6,2.0,4.0,5.0,0.0,14.0,Launched,glutamate receptor antagonist,epilepsy,False,N03AX10,True,7.1,35.80487804878049,3075.0,-0.2872256365607076
CHEMBL1095,-6.859,3,0.0,0.0,6.04,0,,ACVR1,t1_cns,1,0,ethotoin,ETHOTOIN,204.2,1.3,49.4,1.0,2.0,2.0,0.0,4.0,Launched,hydantoin antiepileptic,seizures,False,N03AB01,True,6.859,30.373983739837396,3075.0,-0.44184783944472134
CHEMBL1095777,-9.232,3,0.0,0.0,26.29,0,,ACVR1,t1_cns,1,0,indacaterol,INDACATEROL,392.5,3.15,85.3,4.0,4.0,6.0,0.0,16.0,Launched,adrenergic receptor agonist,chronic obstructive pulmonary disease (COPD),False,R03AC18,True,9.232,87.6260162601626,3075.0,1.0806355109443455
CHEMBL1096,-9.158,2,0.0,0.0,9.66,0,,ACVR1,t1_cns,1,0,amlexanox,AMLEXANOX,298.3,2.75,106.4,2.0,5.0,2.0,0.0,8.0,Launched,histamine receptor modulator,aphthous ulcers|asthma|conjunctivitis|allergic rhinitis,False,A01AD07;R03DX01,True,9.158,86.60162601626016,3075.0,1.0331581540422001
