symbol,n_known,n_total,AUC_dock,AUC_dock_CI95,AUC_MW_only,AUC_MW_only_CI95,AUC_MW_adjusted,AUC_MW_stratified,AUC_physchem_2D_CV,n_physchem_feat,deltaAUC_vs_size_only,deltaAUC_vs_size_only_CI95,deltaAUC_vs_size_only_p_le0,deltaAUC_vs_physchem,deltaAUC_vs_physchem_CI95,deltaAUC_vs_physchem_p_le0,rho_affinity_MW,mw_slope_on_neg_affinity,p_mannwhitney,verdict,verdict_reason
ACVR1,9,3085,0.797,"[0.672, 0.902]",0.817,"[0.762, 0.867]",0.655,,0.835,6,-0.02,"[-0.176, +0.138]",0.584,-0.119,"[-0.275, +0.014]",0.9595,-0.603,0.00579,0.0010316679727782687,FAIL_size_only_matches,仅分子量基线 AUC 0.817 ≥ 对接 AUC 0.797：一行式尺寸启发式就够好，对接未提供增量信息
ADRA2A,115,3085,0.532,"[0.483, 0.581]",0.462,"[0.408, 0.508]",0.578,,0.779,6,0.071,"[+0.032, +0.110]",0.0005,-0.261,"[-0.328, -0.195]",1.0,-0.582,0.00555,0.11840851083882326,NS_not_significant,对接 AUC 0.532 方向正确但 p=0.118 ≥ 0.05：只能称趋势，不能称富集
AXL,13,3085,0.88,"[0.834, 0.928]",0.842,"[0.788, 0.891]",0.752,,0.848,6,0.037,"[-0.030, +0.104]",0.141,-0.021,"[-0.071, +0.027]",0.803,-0.698,0.0062,1.1094661054861936e-06,PASS_size_independent,"对接 AUC 0.880 > 尺寸基线 0.842、p=1.1e-06、校正后 0.752 > 0.5；但注意：ΔAUC(vs 尺寸基线) 的 95% CI [-0.030, +0.104] **含 0** → 增量不显著；ΔAUC(vs 2D 理化基线) 的 95% CI [-0.071, +0.027] **含 0** → 增量不显著"
MAPK14,16,3085,0.779,"[0.670, 0.874]",0.787,"[0.722, 0.845]",0.729,,0.856,6,-0.009,"[-0.078, +0.053]",0.5785,-0.126,"[-0.252, -0.021]",0.9935,-0.44,0.00317,5.9379925409004636e-05,FAIL_size_only_matches,仅分子量基线 AUC 0.787 ≥ 对接 AUC 0.779：一行式尺寸启发式就够好，对接未提供增量信息
TNIK,10,3085,0.824,"[0.619, 0.951]",0.816,"[0.746, 0.881]",0.803,,0.789,6,0.008,"[-0.224, +0.193]",0.4435,-0.045,"[-0.282, +0.120]",0.634,-0.299,0.00175,0.00019635383142173164,PASS_size_independent,"对接 AUC 0.824 > 尺寸基线 0.816、p=0.0002、校正后 0.803 > 0.5；但注意：ΔAUC(vs 尺寸基线) 的 95% CI [-0.224, +0.193] **含 0** → 增量不显著；ΔAUC(vs 2D 理化基线) 的 95% CI [-0.282, +0.120] **含 0** → 增量不显著"
