symbol,K,meta_Z,meta_p,consistency,n_up,n_dn,lfc_GSE267799_SMIR_DRG,lfc_GSE212311_CCI_DRG,lfc_GSE278227_CCI_DRG,lfc_GSE241361_S1R_DRG,lfc_GSE265957_Xtail_DRG_Day4,lfc_GSE265957_Xtail_DRG_Day63,meta_FDR,incision_lfc,concordant_incision
SLC9A9,6,-4.293984367366515,1.7549483677416807e-05,0.8333333333333334,1,5,0.5117258645874889,-0.02071968022570747,-0.47167013808777547,-0.2885669148350605,-0.451390326430717,-0.203518877797066,0.00013272689496558458,0.5117258645874889,False
KIF2C,4,4.2939384468719535,1.7553115821632714e-05,0.75,3,1,-0.12687337684608946,0.04224237673859635,0.502011555219603,0.9074001036095256,,,0.00013272689496558458,-0.12687337684608946,False
PHYH,6,-4.292045382044668,1.7703475328133705e-05,0.8333333333333334,1,5,-0.24683333395517515,-0.19739678272729044,-0.26170524666759043,0.05804702178046739,-0.300389054785655,-0.509085121498111,0.00013380270485446077,-0.24683333395517515,True
ATG10,6,-4.291894634700281,1.7715501266960905e-05,0.6666666666666666,2,4,-0.27062728727580376,0.08344660360703449,-0.2512371358235539,0.011023770059360949,-0.225680288328687,-0.274964091825213,0.00013383248606605976,-0.27062728727580376,True
NFIC,5,-4.291785653193977,1.7724200163867318e-05,0.8,1,4,0.4876733707505947,,-0.4626894455060775,-0.008518077692744264,-0.0530149676084347,-0.0171759741978946,0.00013383711729577182,0.4876733707505947,False
PLPP1,6,4.291021695836834,1.7785293547536305e-05,0.5,3,3,-0.04017274027716766,0.18993860757839354,0.2675656440629526,-1.5579586090032205,0.157817368968497,-0.21664220050268,0.00013423719963466527,-0.04017274027716766,False
BCORL1,6,4.290509968191774,1.7826328366280993e-05,0.8333333333333334,5,1,0.2503228521088494,0.11461973345779297,0.25260742911612954,0.21176270327143998,-0.126623921280325,0.0198042606504091,0.00013448559121179718,0.2503228521088494,True
SLC37A4,6,-4.29026771689503,1.7845785647630854e-05,0.5,3,3,-0.2547332736996726,-0.17312332028237476,-0.2947810576873984,0.0032396228137514527,0.147816362472407,0.327292789563962,0.00013457104512054028,-0.2547332736996726,True
ECH1,6,-4.2888463146374685,1.7960358955788535e-05,0.5,3,3,-0.2281486357390614,-0.08448969194730971,-0.26477764653454816,0.04329065498386786,0.101478899514208,0.0525166962650689,0.00013537334309481414,-0.2281486357390614,True
SLC36A4,6,4.288395018093423,1.7996882427444092e-05,0.8333333333333334,5,1,0.2632746582851695,0.04745544765478993,0.2248708878074428,0.08044476406956846,-0.0415066378674754,0.0479259602357797,0.00013558689027722104,0.2632746582851695,True
LSM14B,6,4.287803762888674,1.804483985689574e-05,1.0,6,0,0.1931552550048412,0.04864273557412613,0.09754021394849755,0.648707814656877,0.25953057218994,0.0352718301700106,0.000135886346365486,0.1931552550048412,True
TMEM14A,6,-4.287645273862603,1.8057715772083477e-05,0.6666666666666666,2,4,0.037415064690988764,-0.2243190925530083,-0.5137557731432052,-0.08767417313360859,-0.344207904779742,0.124252703592012,0.0001359214695131995,0.037415064690988764,False
APBB1IP,6,4.286774689854632,1.8128599721244663e-05,0.8333333333333334,5,1,0.2643238710279494,0.12853886202774367,0.57450136485742,0.5276596182239914,0.0399982997152126,-0.0344110977436026,0.0001363929920845644,0.2643238710279494,True
GOT1,6,-4.28618752410174,1.8176557028768417e-05,0.6666666666666666,2,4,0.0506848877169368,-0.12955935576791777,-0.2848975516765675,0.06462091132545744,-0.0607902959941982,-0.104243533269348,0.00013664338235108383,0.0506848877169368,False
CD2AP,6,-4.286165099090488,1.8178391006348875e-05,0.8333333333333334,1,5,0.3476955365524441,-0.08809307386230358,-0.19093109949767584,-2.2028565822322728,-0.44256380215682,-0.571544126233738,0.00013664338235108383,0.3476955365524441,False
HELB,6,4.285939700371303,1.8196834511711826e-05,0.6666666666666666,4,2,0.14307431831295592,0.13531596556221848,0.300988654327754,-0.8140787279762347,-0.0704999019397343,0.0647581877304397,0.0001367199295677958,0.14307431831295592,True
HAVCR2,4,4.285614880106321,1.8223444656083822e-05,1.0,4,0,0.15977983939224505,0.1355231283977673,0.12646970219821083,1.1322252482295314,,,0.00013685773863316672,0.15977983939224505,True
RIPK1,6,4.284497150404453,1.831529560642728e-05,0.6666666666666666,4,2,-0.06037060805853134,0.14370980104550268,0.31747212371289546,-0.7062015824028123,0.0309653268117957,0.0015005304516752,0.00013748515776761192,-0.06037060805853134,False
GIT1,6,4.283514763101466,1.8396388614049846e-05,1.0,6,0,0.16694400816480393,0.22752288267460985,0.07809295535986749,0.4829941777522908,0.507524430968931,0.340703408338623,0.00013803128936525525,0.16694400816480393,True
XDH,6,4.2829652997593675,1.844189413332553e-05,0.8333333333333334,5,1,0.1736446193014709,0.3748456709195165,0.877100336416671,-0.3713785190851979,1.66059989377924,0.280246283393919,0.0001383100279541478,0.1736446193014709,True
MTMR3,6,4.282838741306676,1.8452390648954397e-05,0.8333333333333334,5,1,0.15775661936728191,0.031920369318046315,0.16527543329582617,0.1106349239550255,-0.0088931887776072,0.0405094639932164,0.00013832607337929944,0.15775661936728191,True
SHISA6,6,4.2802947317783495,1.8664596841907314e-05,1.0,6,0,0.3227774731743605,0.037748273942658395,0.33828168236606326,0.4998501861423297,0.0365449680196322,0.0670171892176188,0.00013979637225873203,0.3227774731743605,True
CKMT2,5,-4.280284952595921,1.866541703067894e-05,1.0,0,5,-0.494765706617434,-0.7812784716157143,-1.1458134073802801,-0.22663861689433962,-0.134919194380427,,0.00013979637225873203,-0.494765706617434,True
PAOX,4,4.279320315342444,1.8746490958892196e-05,0.75,3,1,0.14704120571650936,0.15561854009957488,0.34945932140447233,-0.8550551227997594,,,0.00014034008066557378,0.14704120571650936,True
RHPN1,6,4.278819041251178,1.8788753388040162e-05,1.0,6,0,0.03192112498167088,0.205181680137267,0.4659738806057998,0.07423551385410132,0.0703931882423574,0.314704922475546,0.00014059287797415948,0.03192112498167088,True
DIPK2A,4,-4.277287037024991,1.8918479944637954e-05,0.75,1,3,0.003002632941740302,-0.15497271000775648,-0.3814436308082483,-0.10206630312143172,,,0.0001414996294819916,0.003002632941740302,False
WDR91,6,4.27669783408352,1.8968599071376923e-05,0.8333333333333334,5,1,0.10418527006527523,-0.08383566074845339,0.20351877987637224,0.226899230667593,0.266258323277462,0.0392372942276163,0.00014181041184707806,0.10418527006527523,True
