stratum,k,n,rate,ci_lo,ci_hi
all_shared_genes,7751,14445,0.5365870543440637,0.5284464749079444,0.5447081792567045
meta_significant_FDR05_c06,3261,5460,0.5972527472527472,0.5841796693620089,0.6101890743146916
core_FDR05_c08,2473,3564,0.6938832772166106,0.6785502896706693,0.7087987604342939
meta_sig_not_core,788,1896,0.41561181434599154,0.393621059223642,0.43794383346043875
