symbol,pain_mean_cpm,control_mean_cpm,log2FC_pain_vs_control,welch_t,welch_p,t_positive
SERPINE1,27.61567035858557,11.392827559062214,1.2073000125765931,2.6775799583955684,0.009690470906797265,True
FLNC,10.373374351944758,5.879926141747747,0.7251953667711036,0.17296585569727238,0.8637928015675559,True
ITPKC,154.10387367780086,96.61251060881764,0.6680967484875234,3.359353465882555,0.000863949953381101,True
CRISP3,0.7597256135494398,0.10950413574748076,0.6654354478797987,1.650363313585164,0.10121519575985279,True
MEGF11,5.944066883502863,3.540336928482701,0.6129814827891418,3.1114198696226527,0.002010708060535387,True
CCDC160,4.585513092920871,2.7333167041703748,0.5812319144236086,1.479787330636341,0.14165961004393524,True
VASH2,6.468624710215818,4.127714810332447,0.5425265808972404,1.9262284542092039,0.055465615433477757,True
LNP1,6.187700282262118,4.350339501215273,0.4258998122005696,2.10926271376637,0.03560545111603601,True
NPY,0.600650192397738,0.23990001779958378,0.36843426410920604,1.0918197383925368,0.2762869692847215,True
VIP,3.1245638090306924,2.1970806716922677,0.36748640801616195,0.7702962183758421,0.4429017804222866,True
AXL,65.04796517274892,52.78743650596098,0.2962448830098985,0.5858890598789006,0.5590534656103556,True
ANKRD1,0.4631707841553162,0.20057514747766783,0.2853724646332958,1.6336327532610952,0.1029852524905077,True
RUBCN,67.27516052504124,56.51321072338848,0.24746742134468108,1.810345604201335,0.07065583517024486,True
CDHR5,0.3632637067304198,0.17347544159078568,0.21627701133147448,1.0050550198089871,0.31543703234366277,True
CTTN,202.16712828986357,177.3730728989594,0.1877691548815422,1.4113198334828136,0.1585242831934347,True
ACVR1,47.17933973403262,42.42606618243807,0.1498533525882824,0.8685751946657264,0.3854148920508645,True
MAPK14,89.37505964519912,81.23860711769699,0.1361088645156773,1.2051337364489472,0.22840549479540237,True
TNS3,90.96986631323475,83.70400840894463,0.1187310001562745,0.441493089132392,0.6594441484859459,True
TNIK,155.53618193826748,144.3367075395771,0.10709703279147757,0.47544273064167397,0.634767549598604,True
RNF19B,80.56037402141556,76.73949041747728,0.06922074047427752,0.44616032645419645,0.6556097357961381,True
ANKRD13B,57.68847462296941,55.344401650215055,0.058804939289256675,0.3488297488559034,0.7273142929026695,True
TFE3,86.84015720404577,85.74569065701317,0.01808854685582195,-0.024498642372154496,0.9804632096494733,False
WBP1L,54.91761240117897,54.39070270996636,0.013658919838522196,0.21417523908788627,0.8306111777160632,True
ATF3,61.7247287201465,64.19676391172618,-0.05576603092972378,-0.9021682300609292,0.3709096510106068,False
WDR81,43.34756405173753,47.097616520043644,-0.11711054140926326,-0.7012717581199432,0.4833830641791349,False
GALNS,70.64197478855877,79.43372960245095,-0.1669955120878333,-1.2177831170238775,0.22386612892064528,False
PTPN23,105.08326371340793,118.27559945524784,-0.16910187043713928,-2.037527723432802,0.04173849377769313,False
SLC2A1,337.85008014443986,388.70828390154344,-0.20174748605276593,-0.8960676239440079,0.37235854883622393,False
AGRN,317.1349071566568,371.86379942994876,-0.22901005626542154,-1.1828171051545358,0.23903599765789793,False
FLRT3,22.66450068068867,26.74118229648409,-0.22930479330072986,-0.9695811234762604,0.3325618267878773,False
CHL1,302.09130312084346,379.430184677639,-0.3278792631391421,-2.042552174831464,0.04207157172592922,False
SRRM4,5.610144782118813,7.543857213125516,-0.370205665126864,-1.382701811123484,0.16825070577143714,False
ECEL1,5.982537595545554,17.41152969371421,-1.3987861543410034,-1.5932217336716445,0.1168125867061004,False
SPRR1A,,,,,,
REG3B,,,,,,
