symbol,n,n_pos,AUC_phys,AUC_dock,AUC_combined,LR_dock_residual_p,Wald_neg_aff_p
ACVR1,3075,9,0.8983,0.797,0.9308,0.0009566509554861977,0.17182360483258474
ADRA2A,3070,115,0.791,0.5325,0.7967,0.02685378064888338,0.503790839171554
AXL,3071,13,0.8953,0.8798,0.9267,2.5525834384141807e-05,2.447581733844295e-05
MAPK14,3068,16,0.8971,0.7785,0.9135,0.0661776393381753,0.4065583526484562
TNIK,3063,10,0.8516,0.8242,0.8978,7.257140767509996e-05,0.25051518752144997
