chembl_id,pref_name,max_phase,first_approval,smiles,inchi_key,atc,drh_phase,drh_moa,drh_indication,pain_prior,mw,logp,tpsa,hbd,hba,rotb,charge,formula,n_torsions,pass,reason
CHEMBL1233,CARISOPRODOL,4.0,1959.0,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,OFZCIYFFPZCNJE-UHFFFAOYSA-N,M03BA72;M03BA02;M03BA52,,,,False,260.3,2.02,90.7,2.0,4.0,7.0,0.0,C12H24N2O4,18.0,True,
CHEMBL1234,DEFEROXAMINE MESYLATE,4.0,1968.0,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(=O)O,IDDIJAWJANBQLJ-UHFFFAOYSA-N,,,,,False,560.7,0.92,205.8,6.0,9.0,23.0,0.0,C25H48N6O8,,False,F3_druglikeness
CHEMBL1237,LISINOPRIL ANHYDROUS,4.0,1987.0,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,RLAWWYSOJDYHDC-BZSNNMDCSA-N,,,,,False,405.5,1.24,133.0,4.0,5.0,12.0,0.0,C21H31N3O5,32.0,True,
CHEMBL1238,AZELAIC ACID,4.0,1995.0,O=C(O)CCCCCCCC(=O)O,BDJRBEYXGGNYIS-UHFFFAOYSA-N,D10AX03,,,,False,188.2,1.89,74.6,2.0,2.0,8.0,0.0,C9H16O4,20.0,True,
CHEMBL1239,BENZYL BENZOATE,4.0,1976.0,O=C(OCc1ccccc1)c1ccccc1,SESFRYSPDFLNCH-UHFFFAOYSA-N,P03AX01,,,,False,212.2,3.04,26.3,0.0,2.0,3.0,0.0,C14H12O2,8.0,True,
CHEMBL1240,PROPANTHELINE BROMIDE,4.0,1953.0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C.[Br-],XLBIBBZXLMYSFF-UHFFFAOYSA-M,,,,,False,368.5,4.73,35.5,0.0,3.0,6.0,1.0,C23H30NO3+,14.0,True,
CHEMBL1241,TRIPELENNAMINE,4.0,1948.0,CN(C)CCN(Cc1ccccc1)c1ccccn1,UFLGIAIHIAPJJC-UHFFFAOYSA-N,R06AC04;D04AA04,Launched,histamine receptor antagonist,asthma|allergic rhinitis|urticaria,False,255.4,2.65,19.4,0.0,3.0,6.0,0.0,C16H21N3,12.0,True,
CHEMBL1242,PHENAZOPYRIDINE,4.0,1987.0,Nc1ccc(/N=N/c2ccccc2)c(N)n1,QPFYXYFORQJZEC-FOCLMDBBSA-N,G04BX06,Launched,local anesthetic,urinary tract infections,False,213.2,2.66,89.6,2.0,5.0,2.0,0.0,C11H11N5,8.0,True,
CHEMBL141305,CYCLOFENIL,4.0,,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,GVOUFPWUYJWQSK-UHFFFAOYSA-N,G03GB01,,,,False,364.4,5.3,52.6,0.0,4.0,4.0,0.0,C23H24O4,12.0,True,
CHEMBL139877,SULFACARBAMIDE,4.0,,NC(=O)NS(=O)(=O)c1ccc(N)cc1,WVAKABMNNSMCDK-UHFFFAOYSA-N,,Withdrawn,,,False,215.2,-0.37,115.3,3.0,4.0,2.0,0.0,C7H9N3O3S,6.0,True,
