,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
EIF4EBP1,1.152955745330551,8.187548007325384,0.0001126031320678148,3.8211899903761495,2.6682342450455985,0.07603884453841177,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CCL8,3.297364068543263,10.997368939284515,0.00012191505223811294,4.237040388190423,0.9396763196471601,0.07603884453841177,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
GM35413,1.4091509333360999,11.134488117239762,0.0001221014069341882,1.5277204388098602,0.1185695054737604,0.07603884453841177,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
C1QB,1.8217028811592488,7.9508686355524025,0.00012663809332283426,6.593455656261157,4.771752775101908,0.07603884453841177,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
C3AR1,1.5474674574156588,7.6972831459573,0.00012975966124643935,4.309398162983568,2.761930705567909,0.07603884453841177,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
MSR1,1.307945902285368,8.18577040898332,0.0001303778026632618,3.321199207249929,2.013253304964561,0.07603884453841177,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
SERPINE1,2.527837547151697,10.453366589304355,0.0001321746495106163,3.3590028971945247,0.8311653500428277,0.07603884453841177,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CHAC1,2.275748171995064,9.858330721227238,0.00013242681813663057,4.190477852254284,1.9147296802592195,0.07603884453841177,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
COLEC10,1.5479177011355638,11.137262059662174,0.0001327612807498906,1.8759301286498666,0.3280124275143027,0.07603884453841177,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
HAO1,1.344305108679893,8.66200232463492,0.0001342877584144855,1.86866993667168,0.5243648279917869,0.07603884453841177,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
SAA1,0.9314850673481592,8.607776432661096,0.0001444005671125778,1.3540045809171033,0.4225195135689441,0.07733515827488918,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
LPXN,0.9567138163043343,7.424717913082984,0.00014682895106980006,2.573794105996378,1.6170802896920435,0.07733515827488918,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
HAVCR2,1.1322252482295314,8.472756362364606,0.00014817740278703722,1.798243526231496,0.6660182780019646,0.07733515827488918,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
GM29999,0.5911991277031774,10.139716450877664,0.00015243655448460183,0.6396964044781753,0.0484972767749979,0.07733515827488918,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
OAS1E,1.1665383783541596,15.024901939644947,0.00015283628117567034,1.2260628793876684,0.0595245010335088,0.07733515827488918,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
TEX16,0.5423071003490278,8.363146981749525,0.00015818180870169726,0.6034889563980398,0.061181856049011926,0.07757016120483902,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
KIF22,1.5963726421738351,10.421690249487819,0.000159824148475196,4.710216443014098,3.113843800840263,0.07757016120483902,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CLEC4N,1.7582491007063137,7.228833994794795,0.0001745790382363071,3.24605120417751,1.4878021034711963,0.08147608167085515,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
FGF3,3.979566815755492,17.463539748706367,0.00017472374759118717,4.654669810975647,0.6751029952201547,0.08147608167085515,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
CYTH4,1.423199373683274,7.579581617612235,0.00017921714295030778,5.438094933053663,4.014895559370389,0.0819642710316196,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
C1QC,1.822032672358377,7.659370182568583,0.00018496573018129137,6.730657927198624,4.908625254840247,0.08200364418505811,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
MBL2,0.799665615534505,7.136023919861151,0.00018794430624508,1.460772356224196,0.6611067406896911,0.08200364418505811,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
GM14273,1.2108025483392104,17.8310926755842,0.00019700239563151057,1.4117778242607115,0.20097527592150102,0.08200364418505811,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
PDE6B,1.8618086356182015,9.758398591224127,0.00020513146400605493,2.3481452067349493,0.4863365711167478,0.08200364418505811,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
LIPN,3.9832578822065874,19.77797522473344,0.00020549580502711245,4.0603076964047125,0.0770498141981251,0.08200364418505811,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
C1QA,1.8323363977452916,7.460336951789939,0.0002056717549330976,6.784965509732528,4.952629111987236,0.08200364418505811,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
WFDC3,4.4986983112907675,17.08449449770132,0.0002087082060906366,5.310437130519012,0.8117388192282442,0.08200364418505811,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
FLRT3,3.644446065030338,19.463986218680898,0.0002087091909973113,7.942754447529219,4.298308382498881,0.08200364418505811,4,5,GSE241361_S1R_DRG,SNI_vs_Naive_WT,DRG
