symbol,chembl_id,pref_name,drug_lc,mw,logp,tpsa,hbd,rotb,tag,rc,sec,reason,D1_affinity,D2_pharm_prior,D3_accessibility,D4_reliability,composite_upper_bound,top_k_threshold_top20,exceeds_top20_bound
ACVR1,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.42,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.6,0.7969667318982387,0.6395450097847358,0.7262349334519309,False
MAPK14,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.35,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.6,0.778536615334207,0.636780492300131,0.7262349334519309,False
SLC2A1,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.66,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
SLC2A1,CHEMBL1741,CLARITHROMYCIN,clarithromycin,748.0,2.44,182.9,4.0,8.0,t2_other,-9,600.52,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
SLC2A1,CHEMBL529,AZITHROMYCIN,azithromycin,749.0,1.9,180.1,5.0,7.0,t2_other,-9,600.23,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
SLC2A1,CHEMBL1200510,ERYTHROMYCIN STEARATE,erythromycin stearate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,601.46,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
SLC2A1,CHEMBL1200506,ERYTHROMYCIN LACTOBIONATE,erythromycin lactobionate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,602.36,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
SLC2A1,CHEMBL269732,TACROLIMUS ANHYDROUS,tacrolimus anhydrous,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.09,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
SLC2A1,CHEMBL3989887,TACROLIMUS,tacrolimus,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.51,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.9141924959216966,0.6171288743882546,0.7262349334519309,False
AXL,CHEMBL2105629,VINFLUNINE DITARTRATE,vinflunine ditartrate,816.9,5.08,133.9,2.0,7.0,t2_other,-9,600.54,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8797731045932484,0.6119659656889873,0.7262349334519309,False
AXL,CHEMBL1741,CLARITHROMYCIN,clarithromycin,748.0,2.44,182.9,4.0,8.0,t2_other,-9,600.3,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8797731045932484,0.6119659656889873,0.7262349334519309,False
AXL,CHEMBL3989887,TACROLIMUS,tacrolimus,804.0,4.64,178.4,3.0,7.0,t2_other,-9,601.59,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8797731045932484,0.6119659656889873,0.7262349334519309,False
AXL,CHEMBL3707372,VOXILAPREVIR,voxilaprevir,861.0,5.35,195.2,3.0,8.0,t2_other,-9,600.63,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8797731045932484,0.6119659656889873,0.7262349334519309,False
TNIK,CHEMBL529,AZITHROMYCIN,azithromycin,749.0,1.9,180.1,5.0,7.0,t2_other,-9,600.22,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8242056993121519,0.6036308548968228,0.7262349334519309,False
TNIK,CHEMBL1200686,PIMECROLIMUS,pimecrolimus,810.5,5.72,158.1,2.0,6.0,t2_other,-9,600.1,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8242056993121519,0.6036308548968228,0.7262349334519309,False
TNIK,CHEMBL532,ERYTHROMYCIN,erythromycin,733.9,1.79,193.9,5.0,7.0,t2_other,-9,600.08,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8242056993121519,0.6036308548968228,0.7262349334519309,False
TNIK,CHEMBL269732,TACROLIMUS ANHYDROUS,tacrolimus anhydrous,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.17,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8242056993121519,0.6036308548968228,0.7262349334519309,False
TNIK,CHEMBL3545060,ERYTHROMYCIN GLUCEPTATE,erythromycin gluceptate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,600.14,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8242056993121519,0.6036308548968228,0.7262349334519309,False
TNIK,CHEMBL1741,CLARITHROMYCIN,clarithromycin,748.0,2.44,182.9,4.0,8.0,t2_other,-9,600.16,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8242056993121519,0.6036308548968228,0.7262349334519309,False
TNIK,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.15,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8242056993121519,0.6036308548968228,0.7262349334519309,False
TNIK,CHEMBL1200506,ERYTHROMYCIN LACTOBIONATE,erythromycin lactobionate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,600.12,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8242056993121519,0.6036308548968228,0.7262349334519309,False
TNIK,CHEMBL1200510,ERYTHROMYCIN STEARATE,erythromycin stearate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,600.1,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8242056993121519,0.6036308548968228,0.7262349334519309,False
TNIK,CHEMBL3989887,TACROLIMUS,tacrolimus,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.11,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8242056993121519,0.6036308548968228,0.7262349334519309,False
TNIK,CHEMBL3707372,VOXILAPREVIR,voxilaprevir,861.0,5.35,195.2,3.0,8.0,t2_other,-9,600.22,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.8242056993121519,0.6036308548968228,0.7262349334519309,False
ADRA2A,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.19,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.6,0.5324652394614875,0.5998697859192231,0.7262349334519309,False
ACVR1,CHEMBL3545060,ERYTHROMYCIN GLUCEPTATE,erythromycin gluceptate,733.9,1.79,193.9,5.0,7.0,t2_other,-9,601.5,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.7969667318982387,0.5995450097847359,0.7262349334519309,False
ACVR1,CHEMBL3707372,VOXILAPREVIR,voxilaprevir,861.0,5.35,195.2,3.0,8.0,t2_other,-9,600.31,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.7969667318982387,0.5995450097847359,0.7262349334519309,False
ACVR1,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.91,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.7969667318982387,0.5995450097847359,0.7262349334519309,False
MAPK14,CHEMBL3545252,DOCETAXEL,docetaxel,807.9,3.26,224.4,5.0,8.0,t2_other,-9,600.07,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.778536615334207,0.5967804923001311,0.7262349334519309,False
MAPK14,CHEMBL269732,TACROLIMUS ANHYDROUS,tacrolimus anhydrous,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.85,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.778536615334207,0.5967804923001311,0.7262349334519309,False
MAPK14,CHEMBL1200686,PIMECROLIMUS,pimecrolimus,810.5,5.72,158.1,2.0,6.0,t2_other,-9,600.24,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.778536615334207,0.5967804923001311,0.7262349334519309,False
MAPK14,CHEMBL1741,CLARITHROMYCIN,clarithromycin,748.0,2.44,182.9,4.0,8.0,t2_other,-9,602.2,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.778536615334207,0.5967804923001311,0.7262349334519309,False
MAPK14,CHEMBL3989887,TACROLIMUS,tacrolimus,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.13,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.778536615334207,0.5967804923001311,0.7262349334519309,False
MAPK14,CHEMBL3707372,VOXILAPREVIR,voxilaprevir,861.0,5.35,195.2,3.0,8.0,t2_other,-9,600.07,timeout_600s（大环/高柔性分子）,1.0,0.0,0.4,0.778536615334207,0.5967804923001311,0.7262349334519309,False
ITPKC,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.35,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.6,0.5,0.595,0.7262349334519309,False
GALNS,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.59,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.6,0.5,0.595,0.7262349334519309,False
ITPKC,CHEMBL159,VINBLASTINE,vinblastine,811.0,3.99,154.1,3.0,7.0,t2_other,-9,601.0,timeout_600s（大环/高柔性分子）,1.0,0.0,0.6,0.5,0.595,0.7262349334519309,False
ITPKC,CHEMBL378544,VINBLASTINE SULFATE,vinblastine sulfate,811.0,3.99,154.1,3.0,7.0,t2_other,-9,602.79,timeout_600s（大环/高柔性分子）,1.0,0.0,0.6,0.5,0.595,0.7262349334519309,False
GALNS,CHEMBL3545363,GLECAPREVIR,glecaprevir,838.9,3.86,195.2,3.0,6.0,t2_other,-9,600.07,timeout_600s（大环/高柔性分子）,1.0,0.0,0.6,0.5,0.595,0.7262349334519309,False
SERPINE1,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.36,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.6,0.5,0.595,0.7262349334519309,False
VASH2,CHEMBL3317857,VABORBACTAM,vaborbactam,297.1,0.45,95.9,3.0,5.0,t2_other,1,0.32,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.6,0.5,0.595,0.7262349334519309,False
SLC2A1,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,600.11,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.9141924959216966,0.5771288743882546,0.7262349334519309,False
SLC2A1,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.64,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.9141924959216966,0.5771288743882546,0.7262349334519309,False
SLC2A1,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,0.76,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.2,0.9141924959216966,0.5771288743882546,0.7262349334519309,False
SLC2A1,CHEMBL3545432,IXAZOMIB CITRATE,ixazomib citrate,517.1,1.54,168.3,4.0,11.0,t2_other,1,9.36,unsupported_atom_type_B（含硼药物，Vina 无法解析）,1.0,0.0,0.2,0.9141924959216966,0.5771288743882546,0.7262349334519309,False
SLC2A1,CHEMBL1136,TELITHROMYCIN,telithromycin,812.0,4.93,171.8,1.0,11.0,t2_other,-9,601.09,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.9141924959216966,0.5771288743882546,0.7262349334519309,False
SLC2A1,CHEMBL2218877,ERYTHROMYCIN ESTOLATE,erythromycin estolate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.14,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.9141924959216966,0.5771288743882546,0.7262349334519309,False
SLC2A1,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.41,timeout_600s（大环/高柔性分子）,1.0,0.0,0.2,0.9141924959216966,0.5771288743882546,0.7262349334519309,False
