pref_name,mw,affinity,raw_score_pct,mw_adj_score_pct
DEXMEDETOMIDINE,200.3,-7.806,57.75244299674267,84.96742671009771
GUANFACINE,246.1,-7.123,40.14657980456026,58.48534201954397
BRIMONIDINE,292.1,-6.815,32.91530944625407,38.9413680781759
LOFEXIDINE,259.1,-6.569,26.074918566775246,36.85667752442996
APRACLONIDINE,245.1,-6.457,23.452768729641694,35.87947882736157
METHYLDOPA,211.2,-6.289,20.09771986970684,36.612377850162865
TIZANIDINE,253.7,-6.185,18.257328990228014,25.912052117263844
CLONIDINE,230.1,-6.011,15.13029315960912,24.93485342019544
