chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,symbol,tag,exh,max_evals
CHEMBL1197,-7.049,2,0.0,0.0,11.96,0,,ACVR1,t1_cns,1,0
CHEMBL1198857,-7.288,3,0.0,0.0,82.5,0,,ACVR1,t1_cns,1,0
CHEMBL1199080,-5.834,2,0.0,0.0,5.89,0,,ACVR1,t1_cns,1,0
CHEMBL1199307,-7.279,2,0.0,0.0,47.26,0,,ACVR1,t1_cns,1,0
CHEMBL12,-7.657,2,0.0,0.0,18.73,0,,ACVR1,t1_cns,1,0
CHEMBL1200338,-6.567,1,0.0,0.0,8.2,0,,ACVR1,t1_cns,1,0
CHEMBL1200406,-7.51,1,0.0,0.0,11.12,0,,ACVR1,t1_cns,1,0
CHEMBL1200472,-7.815,1,0.0,0.0,34.76,0,,ACVR1,t1_cns,1,0
CHEMBL1200596,-6.374,3,0.0,0.0,4.89,0,,ACVR1,t1_cns,1,0
CHEMBL1200604,-7.279,1,0.0,0.0,15.06,0,,ACVR1,t1_cns,1,0
CHEMBL1200694,-4.972,2,0.0,0.0,5.08,0,,ACVR1,t1_cns,1,0
CHEMBL1200714,-7.319,1,0.0,0.0,6.13,0,,ACVR1,t1_cns,1,0
CHEMBL1200748,-6.199,1,0.0,0.0,12.26,0,,ACVR1,t1_cns,1,0
CHEMBL1200790,-5.372,3,0.0,0.0,5.1,0,,ACVR1,t1_cns,1,0
CHEMBL1200802,-6.095,2,0.0,0.0,7.97,0,,ACVR1,t1_cns,1,0
CHEMBL1200922,-5.666,2,0.0,0.0,11.93,0,,ACVR1,t1_cns,1,0
CHEMBL1201,-8.416,2,0.0,0.0,23.84,0,,ACVR1,t1_cns,1,0
CHEMBL1201087,-8.594,3,0.0,0.0,36.09,0,,ACVR1,t1_cns,1,0
CHEMBL1201168,-7.128,3,0.0,0.0,8.73,0,,ACVR1,t1_cns,1,0
CHEMBL1201191,-7.92,2,0.0,0.0,28.46,0,,ACVR1,t1_cns,1,0
CHEMBL1201192,-8.104,1,0.0,0.0,11.06,0,,ACVR1,t1_cns,1,0
CHEMBL1201201,-5.679,1,0.0,0.0,4.97,0,,ACVR1,t1_cns,1,0
CHEMBL1201206,-7.568,2,0.0,0.0,33.16,0,,ACVR1,t1_cns,1,0
CHEMBL1201210,-8.309,2,0.0,0.0,12.27,0,,ACVR1,t1_cns,1,0
CHEMBL1201212,-6.319,3,0.0,0.0,14.59,0,,ACVR1,t1_cns,1,0
CHEMBL1201213,-6.812,3,0.0,0.0,13.42,0,,ACVR1,t1_cns,1,0
CHEMBL1201216,-8.603,3,0.0,0.0,12.79,0,,ACVR1,t1_cns,1,0
CHEMBL1201217,-6.702,3,0.0,0.0,15.37,0,,ACVR1,t1_cns,1,0
CHEMBL1201219,-8.8,2,0.0,0.0,31.66,0,,ACVR1,t1_cns,1,0
CHEMBL1201222,-6.789,3,0.0,0.0,18.47,0,,ACVR1,t1_cns,1,0
CHEMBL1201229,-7.047,3,0.0,0.0,118.87,0,,ACVR1,t1_cns,1,0
CHEMBL1201234,-5.773,2,0.0,0.0,5.33,0,,ACVR1,t1_cns,1,0
CHEMBL1201237,-7.617,3,0.0,0.0,15.95,0,,ACVR1,t1_cns,1,0
CHEMBL1201244,-8.456,2,0.0,0.0,29.98,0,,ACVR1,t1_cns,1,0
CHEMBL1201256,-7.212,3,0.0,0.0,28.28,0,,ACVR1,t1_cns,1,0
CHEMBL1201264,-7.921,2,0.0,0.0,18.56,0,,ACVR1,t1_cns,1,0
CHEMBL1201266,-7.226,2,0.0,0.0,13.79,0,,ACVR1,t1_cns,1,0
CHEMBL1201271,-10.9,1,0.0,0.0,24.7,0,,ACVR1,t1_cns,1,0
CHEMBL1201274,-6.511,2,0.0,0.0,25.56,0,,ACVR1,t1_cns,1,0
CHEMBL1201284,-8.567,3,0.0,0.0,20.01,0,,ACVR1,t1_cns,1,0
