finetype,n_cells,symbol,mean_lognorm,pct_expressing
Endothelial,31,SPRR1A,0.0,0.0
Endothelial,31,ATF3,0.8562740087509155,0.41935483870967744
Endothelial,31,TFE3,0.07867851108312607,0.06451612903225806
Endothelial,31,CDHR5,0.0,0.0
Endothelial,31,GALNS,0.0,0.0
Endothelial,31,CHL1,0.11264200508594513,0.06451612903225806
Endothelial,31,FLNC,0.17409470677375793,0.0967741935483871
Endothelial,31,RNF19B,0.036039333790540695,0.03225806451612903
Endothelial,31,SRRM4,0.03261895105242729,0.03225806451612903
Endothelial,31,ECEL1,0.0,0.0
Endothelial,31,FLRT3,0.0,0.0
Endothelial,31,PTPN23,0.07401400059461594,0.06451612903225806
Endothelial,31,MAPK14,0.1170559972524643,0.06451612903225806
Endothelial,31,VASH2,0.0,0.0
Endothelial,31,TNIK,0.12383928149938583,0.0967741935483871
Endothelial,31,WDR81,0.07921472936868668,0.06451612903225806
Endothelial,31,CCDC160,0.06847140938043594,0.03225806451612903
Endothelial,31,SLC2A1,0.3895377516746521,0.22580645161290322
Endothelial,31,ANKRD13B,0.040925901383161545,0.03225806451612903
Endothelial,31,NPY,0.1225452572107315,0.06451612903225806
Endothelial,31,AXL,0.04870513081550598,0.03225806451612903
Endothelial,31,SERPINE1,0.05832893028855324,0.03225806451612903
Endothelial,31,WBP1L,0.16728413105010986,0.12903225806451613
Endothelial,31,ITPKC,0.08183667063713074,0.06451612903225806
Endothelial,31,ACVR1,0.08623530715703964,0.06451612903225806
Endothelial,31,LNP1,0.0,0.0
Endothelial,31,AGRN,0.24392689764499664,0.16129032258064516
Endothelial,31,VIP,0.0,0.0
Endothelial,31,REG3B,0.0,0.0
Endothelial,31,TNS3,0.09746643900871277,0.06451612903225806
Endothelial,31,ANKRD1,0.0,0.0
Endothelial,31,CTTN,0.35589689016342163,0.25806451612903225
Endothelial,31,RUBCN,0.020875710994005203,0.03225806451612903
Endothelial,31,MEGF11,0.0,0.0
Erythrocyte,2058,SPRR1A,0.1323906034231186,0.271622934888241
Erythrocyte,2058,ATF3,0.9566589593887329,0.8158406219630709
Erythrocyte,2058,TFE3,0.16067220270633698,0.5092322643343051
Erythrocyte,2058,CDHR5,0.0,0.0
Erythrocyte,2058,GALNS,0.008204614743590355,0.0413022351797862
Erythrocyte,2058,CHL1,0.4053330421447754,0.6569484936831875
Erythrocyte,2058,FLNC,0.005387472920119762,0.01652089407191448
Erythrocyte,2058,RNF19B,0.34863045811653137,0.7691933916423712
Erythrocyte,2058,SRRM4,0.1747637838125229,0.5286686103012633
Erythrocyte,2058,ECEL1,0.02164076641201973,0.07045675413022352
Erythrocyte,2058,FLRT3,0.20405149459838867,0.44752186588921283
Erythrocyte,2058,PTPN23,0.15273906290531158,0.49514091350826045
Erythrocyte,2058,MAPK14,0.3158286511898041,0.7419825072886297
Erythrocyte,2058,VASH2,0.052113085985183716,0.2108843537414966
Erythrocyte,2058,TNIK,0.1927330046892166,0.5364431486880467
Erythrocyte,2058,WDR81,0.06016170233488083,0.2249757045675413
Erythrocyte,2058,CCDC160,0.04805651679635048,0.19387755102040816
Erythrocyte,2058,SLC2A1,0.1329554170370102,0.43002915451895046
Erythrocyte,2058,ANKRD13B,0.20134803652763367,0.5626822157434402
Erythrocyte,2058,NPY,0.00820572953671217,0.029640427599611274
Erythrocyte,2058,AXL,0.0038232519291341305,0.017978620019436346
Erythrocyte,2058,SERPINE1,0.0010092878947034478,0.005344995140913508
Erythrocyte,2058,WBP1L,0.09445663541555405,0.35179786200194363
Erythrocyte,2058,ITPKC,0.03938467055559158,0.16472303206997085
Erythrocyte,2058,ACVR1,0.12730266153812408,0.413508260447036
Erythrocyte,2058,LNP1,0.0,0.0
Erythrocyte,2058,AGRN,0.10469881445169449,0.3435374149659864
Erythrocyte,2058,VIP,0.0,0.0
Erythrocyte,2058,REG3B,0.000820073124486953,0.001943634596695821
Erythrocyte,2058,TNS3,0.020878849551081657,0.09426627793974733
Erythrocyte,2058,ANKRD1,0.00021536739950533956,0.00048590864917395527
Erythrocyte,2058,CTTN,0.4367629587650299,0.8216715257531584
Erythrocyte,2058,RUBCN,0.18599028885364532,0.5592808551992225
Erythrocyte,2058,MEGF11,0.00039679609471932054,0.0024295432458697765
Immune,73,SPRR1A,0.4575653076171875,0.273972602739726
Immune,73,ATF3,0.6728589534759521,0.3287671232876712
Immune,73,TFE3,0.2707321047782898,0.2602739726027397
Immune,73,CDHR5,0.0,0.0
Immune,73,GALNS,0.02344929799437523,0.0410958904109589
Immune,73,CHL1,0.22565868496894836,0.2328767123287671
Immune,73,FLNC,0.04909026250243187,0.0684931506849315
Immune,73,RNF19B,0.21043479442596436,0.2328767123287671
Immune,73,SRRM4,0.02215433493256569,0.0684931506849315
Immune,73,ECEL1,0.11532995104789734,0.0958904109589041
Immune,73,FLRT3,0.23887085914611816,0.1917808219178082
Immune,73,PTPN23,0.06847146153450012,0.136986301369863
Immune,73,MAPK14,0.2763567268848419,0.273972602739726
