symbol,chembl_id,pref_name,drug_lc,mw,logp,tpsa,hbd,rotb,tag,rc,sec,reason
AXL,CHEMBL428647,PACLITAXEL,paclitaxel,853.9,3.74,221.3,4.0,10.0,t2_other,-9,600.46,timeout_600s（大环/高柔性分子）
AXL,CHEMBL443052,TAVABOROLE,tavaborole,151.9,0.04,29.5,1.0,0.0,t2_other,1,0.82,unsupported_atom_type_B（含硼药物，Vina 无法解析）
AXL,CHEMBL484785,CRISABOROLE,crisaborole,251.0,1.57,62.5,1.0,2.0,t2_other,1,0.44,unsupported_atom_type_B（含硼药物，Vina 无法解析）
AXL,CHEMBL5315122,BORTEZOMIB D-MANNITOL,bortezomib d-mannitol,530.4,-1.13,183.4,6.0,13.0,t2_other,1,0.34,unsupported_atom_type_B（含硼药物，Vina 无法解析）
GALNS,CHEMBL1201748,CABAZITAXEL,cabazitaxel,835.9,4.57,202.4,3.0,10.0,t2_other,-9,600.28,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL1660,RIFAPENTINE,rifapentine,877.0,5.65,220.1,6.0,5.0,t2_other,-9,602.54,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL2218877,ERYTHROMYCIN ESTOLATE,erythromycin estolate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,601.19,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL2220427,ERYTHROMYCIN PROPIONATE,erythromycin propionate,790.0,2.75,200.0,4.0,9.0,t2_other,-9,600.59,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL2374220,LEDIPASVIR,ledipasvir,889.0,8.61,174.6,4.0,10.0,t2_other,-9,600.28,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL269732,TACROLIMUS ANHYDROUS,tacrolimus anhydrous,804.0,4.64,178.4,3.0,7.0,t2_other,-9,600.13,timeout_600s（大环/高柔性分子）
GALNS,CHEMBL325041,BORTEZOMIB,bortezomib,384.2,0.36,124.4,4.0,9.0,t2_other,1,0.52,unsupported_atom_type_B（含硼药物，Vina 无法解析）
