tier,n_targets,median_box_vol,median_s_per_chunk_arrival,median_s_per_ligand_wall,median_elapsed_s,median_mw,median_rotb,median_n_torsions,median_tpsa,median_hbd,median_hba,paired_median_ratio_T2_over_T1,cost_ratio_T2_over_T1
T1,6,14733.0,51.7,12.05,1760.0,298.95,4.0,10.0,49.8,1.0,3.0,,
T2,9,12650.0,186.8,43.59,11928.0,356.6,5.0,12.0,80.4,2.0,4.0,3.002,3.617
