,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
NABP1,1.3700446905194519,7.830370448574515,1.4847536086405295e-05,4.300453462552407,2.9304087720329552,0.007706321154180301,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ADAMTS8,1.6964211814373713,7.97584588641693,1.663671495579591e-05,5.414277668701403,3.7178564872640316,0.008380989816555069,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
OSBPL3,0.38428725649073936,7.743177084176034,1.8573538840212186e-05,7.713533355923494,7.329246099432755,0.008775345459751432,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
JUN,1.3806097940602644,9.900196535900307,1.9111265481020096e-05,7.935179814113806,6.554570020053542,0.008775345459751432,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
MAP3K20,-0.1903561303698167,-7.674902389141734,1.9486765781767553e-05,6.2703995909224375,6.460755721292254,0.008775345459751432,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
PLK3,0.8719282336812713,8.115552997171982,1.9574815483908044e-05,5.216535955429215,4.344607721747944,0.008775345459751432,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
FADS3,0.5064637710049933,7.927555230668738,2.0665142270718192e-05,6.061668480291027,5.555204709286033,0.008775345459751432,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
EFNB2,-0.46037791396943817,-7.526304268109032,2.076481689432809e-05,5.237376111266592,5.69775402523603,0.008775345459751432,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ZSWIM4,0.4057960026425187,7.562679272468891,2.1474555526715932e-05,4.105272416398113,3.699476413755594,0.008775345459751432,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
GADD45A,2.6125995890975675,13.119516632113356,2.177035934990135e-05,7.161002444220993,4.548402855123426,0.008775345459751432,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ARL15,-0.30428624685008865,-7.792309283981565,2.203058470161791e-05,3.7073422198350756,4.011628466685164,0.008775345459751432,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ONECUT1,-1.0972159871475085,-8.325573531268786,2.3386915266160895e-05,3.864643706735779,4.961859693883287,0.008906421970305969,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
BCL3,1.2987872758786043,8.37636351941493,2.4175729958719106e-05,3.942670286761834,2.6438830108832296,0.008906421970305969,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
PHC2,0.36643136758076356,8.86565462947898,2.4192167548938202e-05,7.047257744645073,6.680826377064309,0.008906421970305969,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ARHGEF3,-0.41994279997270567,-7.358857640651322,2.476095821608059e-05,4.670631292820453,5.090574092793159,0.008906421970305969,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
PVR,1.6213718173179883,9.155933305060847,2.565106031899179e-05,4.820433753493355,3.199061936175367,0.008906421970305969,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
KCTD10,0.28379373766259164,7.37802037389068,2.5678341500271743e-05,7.195740687533828,6.911946949871236,0.008906421970305969,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
ELP3,-0.08222342639535007,-7.768539906094797,2.5999597064181366e-05,6.326119624901195,6.408343051296545,0.008906421970305969,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
RPA1,-0.21702681777612476,-7.93700938540155,2.7315415178819775e-05,5.861902753797545,6.07892957157367,0.009109325753091637,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
MLPH,1.200408843512898,8.700734153669236,2.765558962872286e-05,1.5418477314993264,0.3414388879864286,0.009109325753091637,6,6,GSE278227_CCI_DRG,M_24h_IL_vs_CL,DRG
