celltype,contrast,symbol,mean_A,mean_B,delta_log,n_A,n_B,welch_p,note,bh_q
Fibroblast_Meninges,SNI_vs_Sham,ATF3,0.019235003739595413,0.0,0.019235003739595413,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,TFE3,0.05695592612028122,0.10168274492025375,-0.044726818799972534,2,2,0.42207083106040955,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,CDHR5,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,GALNS,0.035454824566841125,0.0,0.035454824566841125,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,CHL1,0.35921281576156616,0.21163052320480347,0.1475822925567627,2,2,0.47073057293891907,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,FLNC,0.012522500939667225,0.10035847872495651,-0.08783597499132156,2,2,0.410464346408844,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,RNF19B,0.06744688749313354,0.09076570719480515,-0.0233188197016716,2,2,0.4533393681049347,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,SRRM4,0.0843459889292717,0.04665178805589676,0.03769420087337494,2,2,0.7326269149780273,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,ECEL1,0.0,0.006209582556039095,-0.006209582556039095,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,FLRT3,0.09299314022064209,0.015795061364769936,0.0771980807185173,2,2,0.06792798638343811,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,PTPN23,0.08251886069774628,0.03489484265446663,0.04762401804327965,2,2,0.6693663597106934,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,MAPK14,0.33520108461380005,0.42227205634117126,-0.08707097172737122,2,2,0.6895237565040588,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,VASH2,0.0,0.009702564217150211,-0.009702564217150211,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,TNIK,0.7458484172821045,0.7878578901290894,-0.04200947284698486,2,2,0.8675094246864319,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,WDR81,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,CCDC160,0.10204365849494934,0.07728742063045502,0.024756237864494324,2,2,0.3229767382144928,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,SLC2A1,0.061334822326898575,0.2159583568572998,-0.15462353825569153,2,2,0.3938731551170349,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,ANKRD13B,0.039330217987298965,0.015237228013575077,0.024092990905046463,2,2,0.34826311469078064,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,NPY,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,AXL,0.29672572016716003,0.34276777505874634,-0.046042054891586304,2,2,0.7473174929618835,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,SERPINE1,0.09794460237026215,0.0,0.09794460237026215,2,2,0.29822447896003723,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,WBP1L,0.2435949742794037,0.3342587947845459,-0.09066382050514221,2,2,0.6480463743209839,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,ITPKC,0.0768100917339325,0.0,0.0768100917339325,2,2,0.4999999701976776,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,ACVR1,0.3424333930015564,0.411760538816452,-0.06932714581489563,2,2,0.7062156200408936,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,LNP1,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,AGRN,0.1730888932943344,0.104975126683712,0.0681137666106224,2,2,0.6330854892730713,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,VIP,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,TNS3,0.3456067442893982,0.403864324092865,-0.0582575798034668,2,2,0.47515150904655457,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,ANKRD1,0.0,0.0,0.0,2,2,,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,CTTN,0.10983017086982727,0.2905920445919037,-0.18076187372207642,2,2,0.377281129360199,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,RUBCN,0.28159117698669434,0.1597200483083725,0.12187112867832184,2,2,0.4543437361717224,n=2v2 sample-level; descriptive only,
Fibroblast_Meninges,SNI_vs_Sham,MEGF11,0.037666697055101395,0.1901763677597046,-0.1525096744298935,2,2,0.3087385892868042,n=2v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,SPRR1A,0.0024876033421605825,0.0017100900877267122,0.0007775132544338703,3,2,0.8134099245071411,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,ATF3,0.0414472296833992,0.11562599241733551,-0.07417876273393631,3,2,0.6040084362030029,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,TFE3,0.32059556245803833,0.2880163788795471,0.03257918357849121,3,2,0.6479206681251526,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,CDHR5,0.0,0.0,0.0,3,2,,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,GALNS,0.061888810247182846,0.1580025553703308,-0.09611374139785767,3,2,0.12547555565834045,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,CHL1,0.2991490662097931,0.1529509723186493,0.1461980938911438,3,2,0.24335958063602448,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,FLNC,0.0016283051809296012,0.0,0.0016283051809296012,3,2,0.42264965176582336,n=3v2 sample-level; descriptive only,
Microglia,SNI_vs_Sham,RNF19B,0.24306094646453857,0.22085395455360413,0.022206991910934448,3,2,0.4175860285758972,n=3v2 sample-level; descriptive only,
