,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
NHLH1,-0.07233213202056721,-1.1793999612443813,0.24982566008252413,0.23712984186454383,0.30946197388511104,0.3473065756009893,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
C1H10ORF95,0.07623037148250522,1.1785887117566092,0.24991440758763556,0.5191067264482822,0.44287635496577693,0.3473893328014087,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
MFAP5,0.18519656251822791,1.1768789870864282,0.24992464065605863,4.135314287674677,3.950117725156449,0.3473893328014087,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
EP400,0.03239104748784705,1.1790462470092562,0.2500233950376122,6.199965820327078,6.167574772839231,0.3474991721259086,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
HTRA1,-0.05362314659602241,-1.1761012580281014,0.25022750396549653,8.530329844686015,8.583952991282038,0.34775541132704857,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
LRRC10,0.020892561974739612,1.1785927200919666,0.25026448489407843,0.03511535273549228,0.01422279076075267,0.3477793611196729,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
EP300,0.041833532254655026,1.1752691795303953,0.2505938953695936,5.816995535170936,5.775162002916281,0.34820964899431217,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
CCL12,0.07229730110627985,1.175718419266251,0.25063949441990113,0.2938901951635909,0.22159289405731103,0.34822333481686046,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
FANCD2OS,-0.013673344924526128,-1.1831104143780298,0.2506432906784693,0.008917507556925912,0.02259085248145204,0.34822333481686046,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
PHLPP2,-0.06008253111918371,-1.1736437751681783,0.25117718205583217,4.411230557491065,4.471313088610248,0.3489375525112614,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
SCML2,-0.06862698919011612,-1.1733593468020624,0.2513053126317829,0.9978399992266842,1.0664669884168003,0.34906369616618144,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
FAM178B,0.0764874083748035,1.17606870932602,0.2513076261252067,2.1602156032423214,2.083728194867518,0.34906369616618144,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
KLRA22,0.0206299407879309,1.1788397571712923,0.2513657263942468,0.03624918583370727,0.015619245045776374,0.3491095768935317,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
ACSM2,-0.037950980218264166,-1.1732637612936658,0.25138030461568767,0.0808268316075191,0.11877781182578327,0.3491095768935317,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
CHPF2,-0.038387036343681125,-1.179531977175718,0.25144026111454676,6.372778287044144,6.411165323387825,0.34916530819179015,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
BRINP1,-0.04032921251022881,-1.1750347697353185,0.2517270815639142,4.637857190462599,4.678186402972828,0.34953604300418617,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
CYCS,-0.0983487903840663,-1.1744804712953318,0.2518337968068978,6.468789726145418,6.567138516529484,0.3496566537027971,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
BPIFB6,0.03664117632935797,1.1741617848881116,0.2523692902720629,0.10506367935202063,0.06842250302266266,0.3503725322019156,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
SPRR3,0.02286772804276602,1.1972128422499264,0.2525991588817467,0.02286772804276602,0.0,0.3506640223132935,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
NKAP,0.04644385669574902,1.1692146312212202,0.2529254805017572,3.5708306368749545,3.5243867801792055,0.3510893542300344,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
TXLNB,0.04379665112250569,1.1841711235100683,0.25299570684853195,0.1316423931475265,0.0878457420250208,0.3511414626483646,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
FAM89B,0.04066278008050439,1.1701780857427784,0.25300289702714773,6.933726849975147,6.893064069894643,0.3511414626483646,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
EIF4A3,0.028879435557793265,1.1688435951292346,0.2530925516146182,5.722555875534273,5.69367643997648,0.351238213276993,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
UBD,0.17526218759221623,1.1880475117140417,0.2532941451139108,0.8533566574982284,0.6780944699060122,0.35149028363415674,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
IFT46,0.033241289811970276,1.1695035431026988,0.25332230926992666,5.078071713777101,5.044830423965131,0.3515016694415914,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
OLR179,0.01448964374998584,1.180591934754925,0.25345066347117806,0.01932802512708804,0.0048383813771022,0.3516520629000958,14,14,GSE278227_CCI_DRG,1W_IL_vs_CL_pooled,DRG
