,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
FARSA-AS1,0.4512590055564818,6.002649465699238,0.00012926305194391487,4.515229302474338,4.063970296917856,0.11067267483707184,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
SNORD72,0.12224441248362042,5.184232329192384,0.00013852463017950166,0.12224441248362042,0.0,0.11287223482095057,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
RPL31P15,0.13144366028790616,5.172763276379564,0.0001414649378095965,0.13144366028790616,0.0,0.11287223482095057,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
HERC6,0.25622668649621216,5.104310043692886,0.00014395043722844895,2.9621305144882752,2.705903827992063,0.11287223482095057,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
AGTR1,0.13912382435979861,5.148828954667594,0.00014781173244054544,0.13912382435979861,0.0,0.11287223482095057,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
LINC01717,0.1581520804124553,5.115667435968954,0.00015709805712301855,0.1581520804124553,0.0,0.11489999806056687,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
ARF4-AS1,0.2644592987992409,4.90744719213338,0.00015860054945714263,5.089052559490486,4.824593260691245,0.11489999806056687,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
TLX1NB,0.10238683427727714,5.09543838730708,0.00016305852787432408,0.10238683427727714,0.0,0.11517639116402882,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
ZNF837,-0.39455875935265716,-6.257719998439142,0.00018086241805133864,3.2572134810188156,3.6517722403714727,0.12463626242981761,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
VLDLR-AS1,0.5011218791719205,4.994518602639995,0.00019284042385983848,2.3381640912174593,1.8370422120455387,0.12754330453249513,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
XPOTP1,0.28724941792602415,4.8392194021692125,0.0001941092268315032,0.6948053750220341,0.40755595709600995,0.12754330453249513,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
GPAM,0.2844461758298005,4.784694796085884,0.00021911199407306995,4.621117372891394,4.336671197061594,0.14069977910319362,15,3,GSE306403_SHSY5Y,Morphine_vs_Control,in_vitro
