cluster,n_cells,current_celltype,assigned_subtype,symbol,mean_lognorm,pct_expressing
2,254,SatelliteGlia,non-neuronal,TFE3,0.14032207429409027,0.11811023622047244
2,254,SatelliteGlia,non-neuronal,CDHR5,0.0,0.0
2,254,SatelliteGlia,non-neuronal,GALNS,0.013482741080224514,0.011811023622047244
2,254,SatelliteGlia,non-neuronal,CHL1,1.240027904510498,0.7244094488188977
2,254,SatelliteGlia,non-neuronal,FLNC,0.011698565445840359,0.007874015748031496
2,254,SatelliteGlia,non-neuronal,RNF19B,0.06173403188586235,0.05905511811023622
2,254,SatelliteGlia,non-neuronal,SRRM4,0.0,0.0
2,254,SatelliteGlia,non-neuronal,ECEL1,0.01585855707526207,0.011811023622047244
2,254,SatelliteGlia,non-neuronal,FLRT3,0.14807696640491486,0.11023622047244094
2,254,SatelliteGlia,non-neuronal,PTPN23,0.07497988641262054,0.07086614173228346
2,254,SatelliteGlia,non-neuronal,MAPK14,0.10779476910829544,0.09448818897637795
2,254,SatelliteGlia,non-neuronal,VASH2,0.0,0.0
2,254,SatelliteGlia,non-neuronal,TNIK,0.3227751851081848,0.25196850393700787
2,254,SatelliteGlia,non-neuronal,WDR81,0.06550271064043045,0.05511811023622047
2,254,SatelliteGlia,non-neuronal,CCDC160,0.027479788288474083,0.027559055118110236
2,254,SatelliteGlia,non-neuronal,SLC2A1,0.20399610698223114,0.16929133858267717
2,254,SatelliteGlia,non-neuronal,ANKRD13B,0.08654552698135376,0.07480314960629922
2,254,SatelliteGlia,non-neuronal,NPY,0.04598436877131462,0.03543307086614173
2,254,SatelliteGlia,non-neuronal,AXL,0.35455673933029175,0.28346456692913385
2,254,SatelliteGlia,non-neuronal,SERPINE1,0.00579020194709301,0.003937007874015748
2,254,SatelliteGlia,non-neuronal,WBP1L,0.14079785346984863,0.11811023622047244
2,254,SatelliteGlia,non-neuronal,ITPKC,0.01048087514936924,0.007874015748031496
2,254,SatelliteGlia,non-neuronal,ACVR1,0.0991760641336441,0.08661417322834646
2,254,SatelliteGlia,non-neuronal,LNP1,0.0,0.0
2,254,SatelliteGlia,non-neuronal,AGRN,0.25879475474357605,0.1968503937007874
2,254,SatelliteGlia,non-neuronal,VIP,0.0,0.0
2,254,SatelliteGlia,non-neuronal,REG3B,0.0,0.0
2,254,SatelliteGlia,non-neuronal,TNS3,0.6458230018615723,0.484251968503937
2,254,SatelliteGlia,non-neuronal,ANKRD1,0.0,0.0
2,254,SatelliteGlia,non-neuronal,CTTN,0.30716753005981445,0.2440944881889764
2,254,SatelliteGlia,non-neuronal,RUBCN,0.10740362852811813,0.09055118110236221
2,254,SatelliteGlia,non-neuronal,MEGF11,0.05035784840583801,0.04330708661417323
3,311,Neuron,Peptidergic_Nociceptor,SPRR1A,0.06701613962650299,0.1414790996784566
3,311,Neuron,Peptidergic_Nociceptor,ATF3,0.24420933425426483,0.3054662379421222
3,311,Neuron,Peptidergic_Nociceptor,TFE3,0.11895258724689484,0.2797427652733119
3,311,Neuron,Peptidergic_Nociceptor,CDHR5,0.0,0.0
3,311,Neuron,Peptidergic_Nociceptor,GALNS,0.006846128962934017,0.01929260450160772
3,311,Neuron,Peptidergic_Nociceptor,CHL1,0.26455265283584595,0.4694533762057878
3,311,Neuron,Peptidergic_Nociceptor,FLNC,0.013329625129699707,0.04180064308681672
3,311,Neuron,Peptidergic_Nociceptor,RNF19B,0.19703935086727142,0.4405144694533762
3,311,Neuron,Peptidergic_Nociceptor,SRRM4,0.2304747849702835,0.4790996784565916
3,311,Neuron,Peptidergic_Nociceptor,ECEL1,0.005801660008728504,0.012861736334405145
3,311,Neuron,Peptidergic_Nociceptor,FLRT3,0.07420873641967773,0.15755627009646303
3,311,Neuron,Peptidergic_Nociceptor,PTPN23,0.12643828988075256,0.3086816720257235
3,311,Neuron,Peptidergic_Nociceptor,MAPK14,0.16605417430400848,0.38263665594855306
3,311,Neuron,Peptidergic_Nociceptor,VASH2,0.005850501358509064,0.012861736334405145
3,311,Neuron,Peptidergic_Nociceptor,TNIK,0.35382869839668274,0.6141479099678456
3,311,Neuron,Peptidergic_Nociceptor,WDR81,0.058333203196525574,0.14469453376205788
3,311,Neuron,Peptidergic_Nociceptor,CCDC160,0.009640747681260109,0.03215434083601286
3,311,Neuron,Peptidergic_Nociceptor,SLC2A1,0.10990319401025772,0.2861736334405145
3,311,Neuron,Peptidergic_Nociceptor,ANKRD13B,0.1823679655790329,0.4212218649517685
3,311,Neuron,Peptidergic_Nociceptor,NPY,0.0006822432624176145,0.003215434083601286
3,311,Neuron,Peptidergic_Nociceptor,AXL,0.007786731701344252,0.022508038585209004
3,311,Neuron,Peptidergic_Nociceptor,SERPINE1,0.001397593878209591,0.003215434083601286
3,311,Neuron,Peptidergic_Nociceptor,WBP1L,0.07193537801504135,0.1864951768488746
3,311,Neuron,Peptidergic_Nociceptor,ITPKC,0.02631928026676178,0.07395498392282958
3,311,Neuron,Peptidergic_Nociceptor,ACVR1,0.06600360572338104,0.17041800643086816
3,311,Neuron,Peptidergic_Nociceptor,LNP1,0.0,0.0
3,311,Neuron,Peptidergic_Nociceptor,AGRN,0.17089605331420898,0.37942122186495175
3,311,Neuron,Peptidergic_Nociceptor,VIP,0.0,0.0
3,311,Neuron,Peptidergic_Nociceptor,REG3B,0.0,0.0
3,311,Neuron,Peptidergic_Nociceptor,TNS3,0.04409680515527725,0.1157556270096463
3,311,Neuron,Peptidergic_Nociceptor,ANKRD1,0.0,0.0
3,311,Neuron,Peptidergic_Nociceptor,CTTN,0.3485582768917084,0.6366559485530546
3,311,Neuron,Peptidergic_Nociceptor,RUBCN,0.23048575222492218,0.4630225080385852
3,311,Neuron,Peptidergic_Nociceptor,MEGF11,0.0018534075934439898,0.006430868167202572
4,1214,Schwann,non-neuronal,SPRR1A,0.055085983127355576,0.12685337726523888
4,1214,Schwann,non-neuronal,ATF3,1.096930980682373,0.8739703459637562
4,1214,Schwann,non-neuronal,TFE3,0.16249865293502808,0.443163097199341
4,1214,Schwann,non-neuronal,CDHR5,0.00031330034835264087,0.0008237232289950577
4,1214,Schwann,non-neuronal,GALNS,0.00559181859716773,0.022240527182866558
4,1214,Schwann,non-neuronal,CHL1,0.41824284195899963,0.728995057660626
4,1214,Schwann,non-neuronal,FLNC,0.002430129097774625,0.007413509060955519
4,1214,Schwann,non-neuronal,RNF19B,0.32803118228912354,0.700164744645799
4,1214,Schwann,non-neuronal,SRRM4,0.15224523842334747,0.4184514003294893
4,1214,Schwann,non-neuronal,ECEL1,0.010204903781414032,0.03212520593080725
4,1214,Schwann,non-neuronal,FLRT3,0.23903727531433105,0.4925864909390445
4,1214,Schwann,non-neuronal,PTPN23,0.14389216899871826,0.400329489291598
4,1214,Schwann,non-neuronal,MAPK14,0.3394559621810913,0.7108731466227347
4,1214,Schwann,non-neuronal,VASH2,0.04220779612660408,0.13920922570016475
4,1214,Schwann,non-neuronal,TNIK,0.13905949890613556,0.38797364085667213
4,1214,Schwann,non-neuronal,WDR81,0.08003100007772446,0.24052718286655683
4,1214,Schwann,non-neuronal,CCDC160,0.05238187685608864,0.17215815485996705
4,1214,Schwann,non-neuronal,SLC2A1,0.15846870839595795,0.4464579901153213
4,1214,Schwann,non-neuronal,ANKRD13B,0.18449562788009644,0.48352553542009885
4,1214,Schwann,non-neuronal,NPY,0.006541493348777294,0.023064250411861616
4,1214,Schwann,non-neuronal,AXL,0.03665129840373993,0.12602965403624383
4,1214,Schwann,non-neuronal,SERPINE1,0.00039870262844488025,0.0016474464579901153
4,1214,Schwann,non-neuronal,WBP1L,0.08775327354669571,0.27100494233937394
4,1214,Schwann,non-neuronal,ITPKC,0.03327992185950279,0.11532125205930807
4,1214,Schwann,non-neuronal,ACVR1,0.11660955101251602,0.34102141680395387
4,1214,Schwann,non-neuronal,LNP1,0.0,0.0
4,1214,Schwann,non-neuronal,AGRN,0.15586374700069427,0.44069192751235586
4,1214,Schwann,non-neuronal,VIP,0.0,0.0
4,1214,Schwann,non-neuronal,REG3B,0.0,0.0
4,1214,Schwann,non-neuronal,TNS3,0.1441897451877594,0.39621087314662273
4,1214,Schwann,non-neuronal,ANKRD1,0.0,0.0
4,1214,Schwann,non-neuronal,CTTN,0.4084593951702118,0.7883031301482701
4,1214,Schwann,non-neuronal,RUBCN,0.1772180050611496,0.4785831960461285
4,1214,Schwann,non-neuronal,MEGF11,0.00513414666056633,0.016474464579901153
5,1869,Neuron,Injured_RegenNeuron,SPRR1A,3.1331260204315186,0.9860888175494917
5,1869,Neuron,Injured_RegenNeuron,ATF3,2.6794309616088867,0.9973247726056714
5,1869,Neuron,Injured_RegenNeuron,TFE3,0.274435430765152,0.7490636704119851
5,1869,Neuron,Injured_RegenNeuron,CDHR5,0.0,0.0
5,1869,Neuron,Injured_RegenNeuron,GALNS,0.05217732861638069,0.21829855537720708
5,1869,Neuron,Injured_RegenNeuron,CHL1,1.1937750577926636,0.9036918138041734
5,1869,Neuron,Injured_RegenNeuron,FLNC,0.7724546790122986,0.8657035848047084
5,1869,Neuron,Injured_RegenNeuron,RNF19B,0.5710395574569702,0.8822899946495452
5,1869,Neuron,Injured_RegenNeuron,SRRM4,0.47598499059677124,0.8694489031567684
5,1869,Neuron,Injured_RegenNeuron,ECEL1,1.4435831308364868,0.980203317281969
5,1869,Neuron,Injured_RegenNeuron,FLRT3,1.4465010166168213,0.9705724986623863
5,1869,Neuron,Injured_RegenNeuron,PTPN23,0.28700920939445496,0.7479935794542536
5,1869,Neuron,Injured_RegenNeuron,MAPK14,0.3913571238517761,0.8362760834670947
5,1869,Neuron,Injured_RegenNeuron,VASH2,0.14485479891300201,0.49063670411985016
5,1869,Neuron,Injured_RegenNeuron,TNIK,1.2276127338409424,0.9684323167469235
5,1869,Neuron,Injured_RegenNeuron,WDR81,0.17618657648563385,0.584804708400214
5,1869,Neuron,Injured_RegenNeuron,CCDC160,0.01745707541704178,0.08721241305510968
5,1869,Neuron,Injured_RegenNeuron,SLC2A1,0.5493803024291992,0.8919208132691279
5,1869,Neuron,Injured_RegenNeuron,ANKRD13B,0.5244701504707336,0.8940609951845907
