,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
NPY,7.532797822060149,41.55131043294674,1.94760016361471e-12,8.28487979829457,0.7520819762344205,3.332343879944769e-08,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
SLC30A3,1.9932118133320975,46.575207937375296,7.086738606523825e-11,2.075301601603925,0.08208978827182747,6.062704877881132e-07,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
ATF3,4.4208165036510945,26.966298028947925,4.4840053705811773e-10,7.652632034676068,3.231815531024974,2.544687280171732e-06,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
STAC2,5.580183704618884,27.592624080321908,5.949005915071261e-10,6.706564625043014,1.1263809204241295,2.544687280171732e-06,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
MAOA,0.9722932529013519,21.650090819578192,1.1130612044900795e-09,6.666598991136776,5.694305738235424,3.574887100527183e-06,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
VIP,5.424567849908632,32.74092714497379,1.4932139213062784e-09,5.601164035960882,0.1765961860522499,3.574887100527183e-06,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
ATP7A,0.859299134856859,22.368807373034365,1.558850521543985e-09,5.142121233017517,4.282822098160658,3.574887100527183e-06,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CCKBR,3.2807891472621056,21.07514169226131,1.823701844798938e-09,3.9829873358250576,0.7021981885629521,3.574887100527183e-06,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CADM2,0.7729706749249718,22.0835434878771,1.880419865852989e-09,6.123577803883246,5.350607128958274,3.574887100527183e-06,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
EMP3,0.7340175464732166,20.47754728682163,2.2080524520130164e-09,6.119468070774139,5.385450524300922,3.7779777453942707e-06,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
TNFRSF12A,1.2469985228987515,19.891927201046226,2.8654707310871248e-09,3.4128099828999106,2.165811460001159,4.457109473536428e-06,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
TMEM145,-0.6948462551390193,-17.843159842372224,6.66568841724958e-09,4.743097083456775,5.437943338595795,9.504160734928359e-06,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CACNA2D1,2.4221291246840213,18.4965930592433,8.309157508465051e-09,8.240613372462457,5.818484247778436,1.0936129613064386e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
MMP19,1.6765013522233327,21.132541740056084,9.834571889001051e-09,4.602608803179146,2.9261074509558136,1.201925178720057e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
IDS,0.6009293612290296,19.865181179547395,1.0832712930142216e-08,9.376097504081683,8.775168142852653,1.235651454898222e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
PCDH17,0.6319581446669602,16.416923307088847,1.8447447155987827e-08,6.553291362425514,5.921333217758554,1.7841778787028868e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CAR2,-0.9349623521297952,-16.03011962032913,1.878446989801233e-08,5.590942051646817,6.525904403776612,1.7841778787028868e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
SNAP25,-0.7217443414546061,-15.87512288125086,2.025287454274041e-08,9.975995493066511,10.697739834521117,1.7841778787028868e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
ASPHD2,-0.4973755724673037,-17.456924126388408,2.211339445950694e-08,4.191424776905854,4.688800349373158,1.7841778787028868e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
TNS3,0.5190419079313644,16.79149294154204,2.219870462080683e-08,8.408203822201889,7.889161914270525,1.7841778787028868e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
TMEM230,-0.30245299630324407,-17.138969231263243,2.272778190027571e-08,5.988803085764207,6.291256082067451,1.7841778787028868e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
EMILIN2,1.5300147358361857,17.547593990726398,2.294091953913706e-08,3.778661823789333,2.248647087953147,1.7841778787028868e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
HOXB8,-0.9061280542401109,-15.878493924136258,2.6380372864218632e-08,3.1632810718147955,4.069409126054906,1.9624703465512208e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
HS2ST1,0.6298205597345481,15.367445871464962,2.7762719398091656e-08,6.77815834855701,6.148337788822462,1.979250537088951e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
DUSP7,0.5952706587505112,15.106207993224247,3.314348441927654e-08,5.026530295719518,4.431259636969007,2.2683400736552865e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CD44,0.680483481637407,25.661317747658828,4.010359474989712e-08,8.185520153679041,7.505036672041634,2.5732684250242452e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
JUN,1.6425019673135983,14.894539543899327,4.202083266841633e-08,8.357257274125052,6.714755306811454,2.5732684250242452e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
PHF14,0.5586278004525695,17.233638972797824,4.2110763238269355e-08,5.276517461265249,4.71788966081268,2.5732684250242452e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CKMT1,-0.7375800506465247,-14.638913698077758,4.751083503110984e-08,7.795498643268303,8.533078693914828,2.8031392668354805e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
PTPRZ1,0.4045485527283983,14.420385765124806,5.248472701602891e-08,7.061751675190831,6.657203122462433,2.9933789308141826e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
GUCY1A2,0.863419621712084,14.100697684055397,6.429932539957314e-08,5.314020786886759,4.450601165174675,3.182565870280602e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
ABCA1,1.1081879510836155,17.21351607838685,6.441937331670267e-08,8.029977229726091,6.921789278642476,3.182565870280602e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CLEC2L,-0.7325942931214389,-14.377694647158092,6.517782372453002e-08,7.416186477667583,8.148780770789022,3.182565870280602e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
FLNC,2.3680815366210384,15.924759104329883,6.652619893220558e-08,6.0110271779053805,3.642945641284342,3.182565870280602e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
RC3H1,0.29436580304617266,15.540329007542253,7.145930783738093e-08,6.835584995592334,6.541219192546161,3.182565870280602e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CORO6,-0.6547136247557965,-17.457169821689764,7.25036624343046e-08,4.638641164449872,5.293354789205669,3.182565870280602e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
SPIRE2,-0.39203049197206497,-14.111801852381546,7.311491962385991e-08,6.124653371145365,6.5166838631174295,3.182565870280602e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
ADAM10,0.36718186001312425,14.279077579379427,7.407298511575972e-08,6.891286155797043,6.524104295783919,3.182565870280602e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
DCLK1,0.50563093457958,13.892083869866397,7.472460812700912e-08,8.0881078607084,7.58247692612882,3.182565870280602e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
DRAXIN,3.3080031608769875,20.377607944625176,7.486331575063082e-08,3.751029803977883,0.4430266431008953,3.182565870280602e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
ROCK2,0.46395551926979905,14.039729592115707,7.740524188188222e-08,6.672190983481599,6.2082354642118,3.182565870280602e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
TMPRSS11F,1.0633066568753775,13.799654430870032,7.812259880291368e-08,1.421468279389474,0.3581616225140965,3.182565870280602e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
FAM126B,0.3841983075319648,14.462491544864372,8.275608192028542e-08,5.6531185691418315,5.268920261609867,3.292922236409497e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
PTPRO,1.146675342394155,14.618346651639412,8.570182345393609e-08,5.70801947299272,4.561344130598565,3.332632271129197e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
ATP11A,-0.4850099378230368,-13.697966920329478,8.852967822938764e-08,9.258363673599263,9.7433736114223,3.3660950988996054e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
TUBB6,2.0369877124544984,13.614635315968933,9.467875242204903e-08,5.734427096292252,3.6974393838377533,3.5077461167495396e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
TSHZ1,0.4569929562504198,13.54506458747819,9.665788591243497e-08,5.156853693226871,4.699860736976452,3.5077461167495396e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
ILDR2,2.538185930428302,13.457926450383427,1.0036303389926923e-07,4.402942582872617,1.864756652444315,3.5077461167495396e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
SCAI,0.8540607608691939,13.593238435124901,1.0249705446365134e-07,4.203630168324921,3.3495694074557267,3.5077461167495396e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CHL1,1.5748127673785879,13.623796472726177,1.0260302538596525e-07,8.892179278402539,7.317366511023951,3.5077461167495396e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
NCAM2,1.0418613872857518,18.8848000586426,1.0455584567751404e-07,5.505203666681385,4.463342279395633,3.5077461167495396e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CYC1,-0.21632670733602133,-13.66479558671764,1.06951423607665e-07,7.153364151514054,7.369690858850075,3.519113188321439e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
LMBRD2,0.5552246502946936,13.306111070019753,1.1101677028173795e-07,6.729618221438662,6.174393571143969,3.5839564896613895e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CTTNBP2NL,0.5134221927335938,13.422053102990862,1.1529423007183283e-07,6.3246752078829225,5.811253015149329,3.627459667777974e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
MYADM,0.7996810617045842,13.966834619798265,1.172511161914814e-07,7.626432189318934,6.82675112761435,3.627459667777974e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
LGALS3,0.6388508476666175,13.574212363216908,1.1984448883304967e-07,7.769832995165249,7.1309821474986315,3.627459667777974e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
SLC16A7,0.7030888316135497,15.38208401306553,1.2084465287162158e-07,4.468158853573567,3.7650700219600175,3.627459667777974e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
PHIP,1.0709636419759825,15.361314977518713,1.2717188072153057e-07,5.351977360042512,4.2810137180665295,3.751570481285152e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
NEFH,-0.5965533246766004,-15.487368230014228,1.3409462829118604e-07,12.398769803347477,12.995323128024078,3.8289564578680456e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
FLRT3,2.427270385292636,18.20155749170465,1.3427082844657087e-07,6.755662104873295,4.328391719580659,3.8289564578680456e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
C1QTNF1,0.7703561465156703,13.254571936674015,1.366760655394574e-07,5.712481579404497,4.942125432888827,3.833651608819862e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
ERBB3,0.4396659703505561,13.025118134667549,1.4445983488616988e-07,8.089752765105915,7.650086794755359,3.986625443390914e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
NCAM1,0.33154443656933275,12.900936055180297,1.4899116603060701e-07,8.64097074822081,8.309426311651476,4.046410874259819e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CBLN2,0.9630011674084384,13.955141162638805,1.6207419342278483e-07,7.178121422635139,6.215120255226701,4.2699450351292105e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
APP,0.31372122567421457,13.953440022179851,1.6432496429656065e-07,10.34110933170819,10.027388106033975,4.2699450351292105e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
SSX2IP,0.5447869809781327,14.583725511194933,1.66112714500565e-07,6.806862347856119,6.262075366877986,4.2699450351292105e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CDKN2B,0.8712408139905419,12.801090291818214,1.6738592582936067e-07,4.29384145370421,3.422600639713668,4.2699450351292105e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
PANX1,0.7890189656955204,12.712721992010923,1.6969974423657878e-07,4.904172114547243,4.115153148851722,4.2699450351292105e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
GFAP,2.0610102584218044,12.975273985627894,1.7953079105274107e-07,6.147682187863441,4.0866719294416365,4.40684199786223e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
PCNX1,0.5812561722211713,13.115641038194578,1.8029160715976393e-07,8.178275731764165,7.597019559542994,4.40684199786223e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
SMAGP,2.7076870222776512,14.51754442060234,1.8546444054662078e-07,3.805742370187353,1.098055347909702,4.469431799651664e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
ESRRG,-0.6019491573444666,-13.238538799371433,1.9085595384061494e-07,4.8401827544338945,5.442131911778361,4.53547968085128e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
CCNG1,0.4559075841048985,13.972374997839461,1.976304175933664e-07,8.16895882190307,7.7130512377981715,4.632132116469177e-05,6,6,GSE278227_CCI_DRG,F_5W_IL_vs_CL,DRG
