,log2FC,t,p,mean_case,mean_ctrl,FDR,n_case,n_ctrl,dataset,contrast,axis
LAPTM5,1.0783915932393295,11.835855364981033,8.49719632289313e-06,5.64110482496181,4.562713231722481,0.005934390413749029,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
AIF1,1.0590616204794623,11.452611738214461,8.759682637406851e-06,3.522162710343353,2.4631010898638905,0.005937776639538697,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
CYTH4,1.1082230216652502,12.196281743972966,9.185664306035424e-06,4.386033264963016,3.277810243297766,0.006048628721748527,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
MERTK,0.6474180901934714,11.334455439934889,1.0019173758055384e-05,4.3240829163424515,3.67666482614898,0.006414219377830623,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
P2RY12,0.9352542765432696,11.497187955239983,1.1479929276202952e-05,5.899352119511776,4.964097842968506,0.007150754865639174,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
LAG3,1.8047655529919955,12.138146631498717,1.1840317158072959e-05,3.539895847154872,1.7351302941628766,0.007181152356371249,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
IRF5,0.6619891462517793,12.56434825961299,1.2888290673155551e-05,2.7627103354198645,2.1007211891680853,0.007616318849851691,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
TREM2,1.2393033742375814,11.782340998035119,1.3923320027877895e-05,4.2279414060230724,2.988638031785491,0.008022268917062546,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
CD14,0.5171893848506439,10.636522156024414,1.5033552391168473e-05,2.771386691332741,2.254197306482097,0.008450689803884385,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
SRXN1,0.218440448108149,11.816821799683469,1.6078489057851092e-05,7.363447889605218,7.145007441497069,0.008822879459911765,4,5,GSE241361_S1R_SC,SNI_vs_Naive_WT_SC,SC
